perm_id,mean_monthly,ann_sharpe,cumulative_return,max_drawdown
0,-0.0002262799984134028,-0.1472912956241637,-0.05979039145287268,-0.11617707654781251
1,-0.0004339509450035933,-0.30704872843096126,-0.10800393409550313,-0.11256752871606102
2,-2.8579295081461133e-05,-0.037937930192532686,-0.008153228506913468,-0.06674815648922683
3,-0.00019684259174645587,-0.2097678291446174,-0.05044095210635524,-0.05821971981689489
4,0.0005028491944278683,0.29737300591148436,0.13251113321872587,-0.0442672126494813
5,-7.84761870021263e-05,-0.07883140650621699,-0.021389113666892,-0.05533849534933866
6,-0.00024681952464593673,-0.34231426069603893,-0.06198977055241961,-0.06589993708751951
7,0.00039993925976466294,0.283680931153092,0.10454626495601693,-0.02680369107756575
8,1.1393453309827898e-05,0.01649171706681747,0.002187891274554543,-0.04139643121572201
9,0.00022255530784611005,0.24692242068193343,0.05732118527638064,-0.01840434182594497
10,0.00043015463046822084,0.2988640388362966,0.11299466401187841,-0.01778462423316063
11,0.00010465470953902255,0.14984318643475156,0.026386958136831007,-0.02062977445722003
12,0.00023622521376930847,0.25458119456651956,0.06095286821665025,-0.02074891203251672
13,0.00015262872778447359,0.23010900686225672,0.039147624527607006,-0.015598441072163127
14,-0.00012691385413758188,-0.1501801248694608,-0.033040936974557344,-0.054528267165118494
15,5.851364793245682e-06,0.008680008529596895,0.0008064847025659461,-0.025945863273538428
16,5.986648512093166e-05,0.07584849444289081,0.014485394244010408,-0.04455530964444443
17,7.913276634059803e-06,0.011001648257666261,0.001239900926777393,-0.03547938608378298
18,-3.0528853585456654e-05,-0.038177614539091784,-0.008754943005815363,-0.025216963481214716
19,-0.00019863035943929803,-0.14641677430480765,-0.05236378513899209,-0.08095743708077985
20,0.00040183805875602073,0.27722982227999704,0.10490417255112217,-0.03178588033347818
21,-0.0004531534627538982,-0.27872056283903934,-0.11325439511405389,-0.14149159116872156
22,0.0003037570482894183,0.186511766394806,0.0766117246961282,-0.03819704720717554
23,0.00028431624645860825,0.19834638151299375,0.07225465778882523,-0.03409124123122298
24,-0.0001980402753117679,-0.23881633806383118,-0.050454497635197604,-0.07703970783567071
25,-5.7687171911028956e-05,-0.03702767327794705,-0.018455140358614397,-0.10108174644849743
26,0.00014538711030429307,0.15184452473828217,0.03646994405782977,-0.038245528307757404
27,0.0004280074516251097,0.2715578284023578,0.111679480724024,-0.023894696213454414
28,-0.00021257690580932102,-0.14004571413185393,-0.05642554712191783,-0.09201313834700897
29,-5.22794358968242e-05,-0.05569386073421293,-0.014613663112339692,-0.06360976073474334
30,0.00016204626436575173,0.2496858360911771,0.041685929223708174,-0.017406561450931446
31,0.0004471652826073145,0.30629069560168554,0.11773399969214182,-0.02221313649096479
32,-0.00026965799723835285,-0.2753027296013822,-0.06809461932832939,-0.07047233878877224
33,0.0001702692988053899,0.24017473079841764,0.04375141570242702,-0.015236928270891736
34,-0.00011587181587462905,-0.18870050917808776,-0.029793066062324458,-0.05151009432960363
35,-0.0003312927421347331,-0.33614140473630527,-0.0827091362090252,-0.08741663502270391
36,6.95490261617243e-05,0.0889942435704451,0.017019005704940415,-0.04090946905551096
37,-0.00016633733340591368,-0.18242526875248027,-0.04291679879776067,-0.06277787885570896
38,-0.00013083766436083647,-0.20314188998616747,-0.0335592526485643,-0.05660554125048456
39,-0.0002820761521980871,-0.29434081183588096,-0.07099917016930146,-0.09870544052719277
40,0.00033095753597099957,0.23155575548827506,0.08513498323987667,-0.01866390438272658
41,-3.8647825813614815e-06,-0.0062837248786231,-0.0015645776284826107,-0.02661693046738378
42,0.00016857861236170083,0.2138596993258368,0.04310246937320761,-0.031340366454866375
43,-0.00035473202573932687,-0.4117278713322224,-0.08787871592408902,-0.09129901788936745
44,-0.0001413319566239733,-0.0931505119348223,-0.03902753628508748,-0.097763776362782
45,-0.0006199373748034157,-0.43475203746938107,-0.14955241742660885,-0.16109859928616954
46,0.0005460770601250425,0.37506184387854574,0.14641344815829216,-0.019362100735781818
47,-0.00030699231469132125,-0.3104063261676961,-0.07698661391211159,-0.1083073383529034
48,5.92748249951841e-05,0.07421717371990588,0.01430914096216851,-0.041344305731575326
49,0.0003688511185047135,0.3816819555337436,0.09745246826284859,-0.02263625880924458
50,0.00043760614351839134,0.49524418704014705,0.11719856061912681,-0.01232540506320945
51,0.00022183594437068357,0.14346860198773936,0.05468529593044291,-0.050669996932943384
52,-5.54381884251353e-05,-0.06710306600230312,-0.015136907120810728,-0.051308234552283505
53,0.00041265915369863635,0.27470230130629103,0.10770977910046575,-0.028354286732997447
54,-4.633890306140113e-05,-0.048119398857724316,-0.013198765375736055,-0.04837788429947942
55,1.8281333873789743e-05,0.03831861292899494,0.004341079657288027,-0.0339744054099439
56,0.00011625338152080155,0.17356461947760962,0.02950419462351417,-0.021319339294485595
57,-0.00020567644588730656,-0.27182894815589775,-0.052134843514918705,-0.07080392734045649
58,-3.789195700582618e-05,-0.049023032928070434,-0.010567671326499162,-0.046602669032849264
59,0.0001448727607031743,0.15102281160275416,0.036318855040874176,-0.04093196702214952
60,0.00022088368055525365,0.15624468901767824,0.05505365465410983,-0.03279994772062267
61,0.00022034534850637907,0.14928384829473457,0.05461959296713359,-0.03199268393079491
62,9.338103009410221e-05,0.11853714766215859,0.02322308875080381,-0.03304879488382184
63,0.00019799003941361218,0.23874385566651557,0.05089482557697633,-0.02542424549041722
64,-1.0549495968138178e-05,-0.015093788665127488,-0.003446578063457273,-0.049952160513141775
65,-3.073830234030148e-06,-0.0019341447617993261,-0.004744784501458987,-0.07312889291987434
66,-0.0003625575895764882,-0.5598810552346686,-0.08924191013638616,-0.09508288278244992
