issuer_id,week_end,n_bonds
33695,2019-01-11,279
1771,2019-08-23,279
1771,2019-08-16,275
33695,2019-08-23,275
33695,2019-06-07,273
33695,2019-08-16,267
1771,2019-08-30,266
33695,2019-12-20,262
33695,2019-01-18,260
33695,2019-08-30,258
33695,2019-03-29,258
1771,2019-09-06,257
1771,2019-01-11,257
33695,2019-04-05,256
1771,2019-02-15,255
1771,2019-03-01,254
1771,2019-03-15,254
33695,2019-06-21,252
1771,2019-02-08,252
33695,2019-06-14,251
1771,2019-03-08,250
33695,2019-07-19,250
1771,2019-01-18,250
33695,2019-03-22,250
33695,2019-06-28,250
1771,2019-02-01,249
33695,2019-12-13,249
1771,2019-04-26,249
33695,2019-05-31,248
1771,2019-03-29,248
1771,2019-02-22,248
1771,2019-04-12,246
33695,2019-10-11,245
33695,2019-04-26,245
1771,2019-04-05,245
33695,2019-07-12,245
33695,2019-05-24,245
33695,2019-09-13,245
33695,2019-05-10,245
33695,2019-03-01,244
33695,2019-01-04,244
33695,2019-04-12,244
1771,2019-03-22,244
33695,2019-08-09,243
1771,2019-09-27,243
1771,2019-06-21,243
33695,2019-08-02,242
1771,2019-01-04,242
33695,2019-05-17,242
1771,2019-09-13,242
33695,2019-03-15,241
33695,2019-02-01,241
33695,2019-03-08,240
1771,2019-06-07,240
1771,2019-06-14,240
33695,2019-01-25,240
1771,2019-09-20,239
1771,2019-01-25,239
33695,2019-07-26,236
33695,2019-02-08,236
1771,2019-06-28,236
1771,2019-10-11,236
1771,2019-04-19,235
1771,2019-07-26,235
1771,2019-05-17,234
1771,2019-05-03,234
1771,2019-10-04,234
1771,2019-05-31,233
1771,2019-12-06,233
33695,2019-12-06,233
1771,2019-07-19,231
1771,2019-08-02,231
33695,2019-09-27,231
33695,2019-11-22,231
33695,2019-09-20,230
1771,2019-08-09,230
33695,2019-11-08,229
33695,2019-09-06,229
1771,2019-11-22,229
1771,2019-11-01,227
1771,2019-10-18,227
1771,2019-07-12,227
1771,2019-12-20,226
1771,2019-05-24,224
33695,2019-10-25,224
33695,2019-04-19,224
1771,2019-11-08,223
33695,2019-10-18,223
1771,2019-12-13,222
33695,2019-11-15,222
33695,2019-10-04,220
33695,2019-02-22,220
1771,2019-10-25,218
1771,2019-11-15,218
33695,2019-11-01,218
1771,2019-05-10,216
33695,2019-05-03,213
33695,2019-02-15,210
33695,2019-07-05,209
1771,2019-07-05,208
1771,2019-11-29,203
33695,2019-11-29,202
42277,2019-09-13,201
33695,2019-12-27,195
1771,2019-12-27,179
42277,2019-09-20,167
1771,2020-01-03,146
42277,2019-11-01,140
33695,2020-01-03,135
42277,2019-09-27,134
42277,2019-10-04,133
42277,2019-12-13,132
42277,2019-11-22,129
42277,2019-10-11,129
42277,2019-12-20,128
42277,2019-12-06,126
42277,2019-11-15,122
42277,2019-08-16,121
42277,2019-06-28,116
42277,2019-11-08,115
42277,2019-10-25,114
42277,2019-08-30,113
42277,2019-06-21,113
42277,2019-06-07,113
42277,2019-04-12,111
42277,2019-07-26,110
42277,2019-07-19,110
