week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2012-01-06,6603,1680,6603,596
2012-01-13,6928,1737,6928,614
2012-01-20,6574,1696,6574,581
2012-01-27,6896,1727,6896,614
2012-02-03,7055,1772,7055,620
2012-02-10,7148,1768,7148,612
2012-02-17,7241,1751,7241,618
2012-02-24,6857,1715,6857,596
2012-03-02,7200,1747,7200,617
2012-03-09,7176,1775,7176,623
2012-03-16,7220,1782,7220,624
2012-03-23,7330,1765,7330,627
2012-03-30,7368,1779,7368,637
2012-04-06,6825,1701,6825,597
2012-04-13,7117,1731,7117,600
2012-04-20,7294,1740,7294,620
2012-04-27,7329,1760,7329,631
2012-05-04,7199,1749,7199,613
2012-05-11,7148,1698,7148,608
2012-05-18,7200,1696,7200,607
2012-05-25,7113,1706,7113,601
2012-06-01,6961,1691,6961,612
2012-06-08,7298,1734,7298,631
2012-06-15,7416,1765,7416,658
2012-06-22,7407,1750,7407,640
2012-06-29,7398,1772,7398,636
2012-07-06,6552,1609,6552,603
2012-07-13,7272,1775,7272,639
2012-07-20,7260,1752,7260,635
2012-07-27,6776,1678,6776,598
2012-08-03,7148,1710,7148,634
2012-08-10,6978,1734,6978,620
2012-08-17,7183,1725,7183,634
2012-08-24,7223,1718,7223,623
2012-08-31,7000,1707,7000,619
2012-09-07,6891,1715,6891,627
2012-09-14,7254,1767,7254,649
2012-09-21,7324,1760,7324,647
2012-09-28,7296,1748,7296,662
2012-10-05,7261,1724,7261,649
2012-10-12,6927,1725,6927,628
2012-10-19,7318,1767,7318,657
2012-10-26,7230,1752,7230,652
2012-11-02,6462,1637,6462,602
2012-11-09,7246,1760,7246,648
2012-11-16,7173,1735,7173,645
2012-11-23,6664,1663,6664,599
2012-11-30,7598,1787,7598,674
2012-12-07,7578,1802,7578,687
2012-12-14,7584,1797,7584,700
2012-12-21,7638,1814,7638,695
2012-12-28,6103,1583,6103,547
2013-01-04,2750,908,2750,260
