variant,min_bonds,quantile,winsor,n_months,mean_monthly,std_monthly,t_stat_mean,ann_sharpe,cumulative_return,max_drawdown,min_month,max_month,issuer_month_groups,position_rows
base_min3_q20,3,0.2,None,13,0.002348756711876852,0.0016014758661887613,5.287974010133491,5.080521093671754,0.03095207783739906,0.0,0.00044893423899540995,0.005046661492249594,10798,45536
min5_q20,5,0.2,None,13,0.0032571964434705077,0.002481858788253559,4.731932713809193,4.54629389635297,0.043142757069186466,-0.00012485188716160334,-0.00012485188716160854,0.007917358383990795,7402,38744
min8_q20,8,0.2,None,13,0.0036246137008353937,0.002732071023541151,4.783451981849423,4.595792008013,0.04811190736647841,-0.0002796026114347816,-0.0002796026114347329,0.009026231324684495,4733,33406
min10_q20,10,0.2,None,13,0.003535228809461502,0.0025728004938269096,4.95430903935006,4.75994615910588,0.046904331041246916,0.0,0.0008349855404030513,0.009428695741424888,3565,31070
min3_q10,3,0.1,None,13,0.0027291619800766205,0.0019277613683910716,5.104435444946049,4.904182944098756,0.03604296424192466,0.0,0.0005022019836493267,0.006496687081603692,10798,28758
min3_q30,3,0.3,None,13,0.0019779447428774776,0.001387032064054954,5.1416123500636175,4.939901359182734,0.02600886972962102,0.0,0.0003311862970409815,0.004450057714754521,10798,65590
winsor_1_99,3,0.2,"(0.01, 0.99)",13,0.0021735423408645485,0.001298694223156266,6.034383013064492,5.797647667408776,0.02861713675808919,0.0,0.0004951185951036526,0.004662707093425305,10798,45536
winsor_5_95,3,0.2,"(0.05, 0.95)",13,0.001762071814065649,0.0009217826011805632,6.892341283646167,6.62194731086907,0.02314548979236375,0.0,0.0004276679123778128,0.0032957249607383434,10798,45536
