week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2021-01-08,9091,1605,9091,825
2021-01-15,9127,1623,9127,838
2021-01-22,8954,1600,8954,831
2021-01-29,9159,1635,9159,836
2021-02-05,9140,1630,9140,833
2021-02-12,9108,1626,9108,822
2021-02-19,8947,1621,8947,830
2021-02-26,9144,1637,9144,829
2021-03-05,9112,1642,9112,827
2021-03-12,9170,1626,9170,836
2021-03-19,9131,1637,9131,825
2021-03-26,9093,1609,9093,832
2021-04-02,8876,1602,8876,823
2021-04-09,9055,1621,9055,814
2021-04-16,8982,1606,8982,812
2021-04-23,8923,1607,8923,817
2021-04-30,8953,1609,8953,805
2021-05-07,8961,1621,8961,814
2021-05-14,8840,1589,8840,809
2021-05-21,8921,1597,8921,821
2021-05-28,8837,1589,8837,829
2021-06-04,8646,1606,8646,800
2021-06-11,9087,1619,9087,819
2021-06-18,8965,1603,8965,819
2021-06-25,8957,1591,8957,824
2021-07-02,8894,1608,8894,820
2021-07-09,8598,1569,8598,800
2021-07-16,8818,1587,8818,820
2021-07-23,8857,1584,8857,818
2021-07-30,8887,1607,8887,824
2021-08-06,8785,1584,8785,818
2021-08-13,8705,1572,8705,802
2021-08-20,8691,1590,8691,808
2021-08-27,8911,1598,8911,821
2021-09-03,8867,1589,8867,820
2021-09-10,8482,1557,8482,791
2021-09-17,8819,1603,8819,810
2021-09-24,8954,1607,8954,824
2021-10-01,9009,1590,9009,824
2021-10-08,8964,1603,8964,822
2021-10-15,8768,1568,8768,812
2021-10-22,8859,1593,8859,810
2021-10-29,9157,1612,9157,842
2021-11-05,8998,1611,8998,831
2021-11-12,8775,1574,8775,814
2021-11-19,9156,1615,9156,830
2021-11-26,8299,1528,8299,793
2021-12-03,9189,1610,9189,826
2021-12-10,9009,1583,9009,830
2021-12-17,9100,1603,9100,831
2021-12-24,8311,1528,8311,774
2021-12-31,8341,1511,8341,782
