week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2018-01-05,7864,1611,7864,759
2018-01-12,8188,1637,8188,781
2018-01-19,8113,1627,8113,781
2018-01-26,8309,1633,8309,784
2018-02-02,8280,1636,8280,795
2018-02-09,8059,1614,8059,773
2018-02-16,8108,1621,8108,774
2018-02-23,7968,1611,7968,765
2018-03-02,8120,1615,8120,785
2018-03-09,8132,1634,8132,780
2018-03-16,8133,1632,8133,773
2018-03-23,8123,1624,8123,778
2018-03-30,7783,1581,7783,761
2018-04-06,8065,1589,8065,767
2018-04-13,8152,1611,8152,787
2018-04-20,8182,1639,8182,776
2018-04-27,8577,1698,8577,813
2018-05-04,8334,1684,8334,809
2018-05-11,8361,1666,8361,805
2018-05-18,8491,1688,8491,798
2018-05-25,8417,1675,8417,815
2018-06-01,8241,1674,8241,801
2018-06-08,8455,1687,8455,804
2018-06-15,8522,1686,8522,804
2018-06-22,8590,1713,8590,808
2018-06-29,8647,1703,8647,828
2018-07-06,7808,1608,7808,765
2018-07-13,8546,1699,8546,811
2018-07-20,8557,1680,8557,815
2018-07-27,8576,1709,8576,813
2018-08-03,8577,1701,8577,822
2018-08-10,8397,1698,8397,812
2018-08-17,8468,1685,8468,805
2018-08-24,8568,1690,8568,813
2018-08-31,8483,1686,8483,808
2018-09-07,8224,1655,8224,805
2018-09-14,8550,1687,8550,817
2018-09-21,8719,1711,8719,832
2018-09-28,8776,1703,8776,833
2018-10-05,8728,1704,8728,828
2018-10-12,8477,1670,8477,822
2018-10-19,8645,1698,8645,818
2018-10-26,8659,1702,8659,819
2018-11-02,8725,1699,8725,825
2018-11-09,8646,1684,8646,817
2018-11-16,8565,1671,8565,812
2018-11-23,8082,1617,8082,784
2018-11-30,8912,1721,8912,833
2018-12-07,8659,1682,8659,826
2018-12-14,8818,1704,8818,833
2018-12-21,8727,1691,8727,817
2018-12-28,7616,1566,7616,750
2019-01-04,4311,1133,4311,478
