week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2023-01-06,9033,1545,9033,805
2023-01-13,9125,1538,9125,812
2023-01-20,8909,1509,8909,805
2023-01-27,9229,1560,9229,814
2023-02-03,9222,1557,9222,814
2023-02-10,9196,1540,9196,811
2023-02-17,9172,1543,9172,821
2023-02-24,8909,1518,8909,798
2023-03-03,9328,1553,9328,809
2023-03-10,9183,1533,9183,815
2023-03-17,9177,1522,9177,795
2023-03-24,9359,1518,9359,792
2023-03-31,9482,1542,9482,825
2023-04-07,9060,1506,9060,794
2023-04-14,9209,1523,9209,806
2023-04-21,9190,1519,9190,811
2023-04-28,9391,1542,9391,820
2023-05-05,9223,1529,9223,809
2023-05-12,9307,1535,9307,806
2023-05-19,9334,1535,9334,804
2023-05-26,9424,1530,9424,805
2023-06-02,9355,1534,9355,806
2023-06-09,9421,1533,9421,816
2023-06-16,9494,1551,9494,810
2023-06-23,9305,1512,9305,811
2023-06-30,9662,1559,9662,825
2023-07-07,9047,1499,9047,800
2023-07-14,9470,1529,9470,807
2023-07-21,9431,1529,9431,811
2023-07-28,9549,1528,9549,809
2023-08-04,9568,1535,9568,820
2023-08-11,9530,1536,9530,818
2023-08-18,9579,1547,9579,817
2023-08-25,9578,1554,9578,821
2023-09-01,9569,1535,9569,818
2023-09-08,9290,1522,9290,814
2023-09-15,9591,1537,9591,816
2023-09-22,9666,1541,9666,822
2023-09-29,9755,1533,9755,828
2023-10-06,9785,1542,9785,827
2023-10-13,9529,1505,9529,812
2023-10-20,9899,1549,9899,830
2023-10-27,9821,1549,9821,827
2023-11-03,9983,1565,9983,828
2023-11-10,9819,1535,9819,820
2023-11-17,10036,1558,10036,826
2023-11-24,9419,1524,9419,809
2023-12-01,10075,1563,10075,832
2023-12-08,10062,1577,10062,835
2023-12-15,10103,1569,10103,835
2023-12-22,9912,1565,9912,824
2023-12-29,9295,1496,9295,798
