week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2016-01-08,7790,1711,7790,757
2016-01-15,7831,1713,7831,751
2016-01-22,7646,1708,7646,742
2016-01-29,7919,1731,7919,782
2016-02-05,7711,1696,7711,760
2016-02-12,7610,1664,7610,724
2016-02-19,7647,1670,7647,733
2016-02-26,7907,1710,7907,756
2016-03-04,7951,1720,7951,767
2016-03-11,8019,1738,8019,761
2016-03-18,7932,1726,7932,771
2016-03-25,7583,1705,7583,731
2016-04-01,8042,1733,8042,769
2016-04-08,7925,1727,7925,753
2016-04-15,7881,1734,7881,754
2016-04-22,7984,1745,7984,752
2016-04-29,7983,1730,7983,770
2016-05-06,7865,1716,7865,751
2016-05-13,8014,1748,8014,764
2016-05-20,7982,1731,7982,756
2016-05-27,8007,1734,8007,770
2016-06-03,7765,1717,7765,746
2016-06-10,8139,1742,8139,757
2016-06-17,8029,1713,8029,758
2016-06-24,8026,1732,8026,761
2016-07-01,7931,1713,7931,755
2016-07-08,7871,1694,7871,742
2016-07-15,8111,1736,8111,749
2016-07-22,8126,1734,8126,774
2016-07-29,8022,1733,8022,762
2016-08-05,7986,1721,7986,760
2016-08-12,7836,1698,7836,753
2016-08-19,8062,1720,8062,761
2016-08-26,8027,1724,8027,766
2016-09-02,7842,1687,7842,751
2016-09-09,7761,1696,7761,751
2016-09-16,7961,1709,7961,775
2016-09-23,8147,1724,8147,774
2016-09-30,8160,1718,8160,780
2016-10-07,8093,1728,8093,775
2016-10-14,7927,1704,7927,758
2016-10-21,8160,1713,8160,766
2016-10-28,8191,1724,8191,771
2016-11-04,8119,1721,8119,769
2016-11-11,7913,1690,7913,763
2016-11-18,8385,1749,8385,797
2016-11-25,7578,1646,7578,735
2016-12-02,8415,1743,8415,794
2016-12-09,8330,1725,8330,793
2016-12-16,8358,1715,8358,791
2016-12-23,8127,1670,8127,777
2016-12-30,7145,1553,7145,693
