issuer_id,week_end,n_bonds
1781,2006-01-06,749
1781,2006-01-13,734
1781,2006-04-07,727
1781,2006-03-31,719
1781,2006-03-24,692
1781,2006-06-16,687
1781,2006-04-21,677
1781,2006-03-10,675
1781,2006-02-10,673
1781,2006-03-17,673
1781,2006-01-27,672
1781,2006-02-24,669
1781,2006-02-03,664
1781,2006-03-03,664
1781,2006-04-14,660
1781,2006-02-17,652
1781,2006-01-20,632
1781,2006-05-05,623
1781,2006-04-28,616
1781,2006-05-12,610
1781,2006-06-09,597
1781,2006-09-22,576
1781,2006-09-15,574
1781,2006-07-14,570
1781,2006-07-28,570
1781,2006-11-03,569
1781,2006-09-29,568
1781,2006-06-30,564
1781,2006-11-17,561
1781,2006-10-27,556
1781,2006-12-08,555
1781,2006-05-26,555
1781,2006-08-18,554
1781,2006-06-23,553
1781,2006-12-01,552
1781,2006-05-19,552
1781,2006-10-06,551
1781,2006-08-11,548
1781,2006-11-10,541
1781,2006-07-21,541
1781,2006-10-20,540
1781,2006-06-02,538
1781,2006-10-13,533
1781,2006-08-04,528
1781,2006-12-15,524
1781,2006-08-25,518
1781,2006-12-22,514
1781,2006-09-08,506
1781,2006-09-01,504
1781,2006-11-24,476
1781,2006-07-07,467
1781,2006-12-29,415
1771,2006-12-15,377
1771,2006-12-22,360
1771,2006-12-08,358
1664,2006-01-27,357
1664,2006-01-13,348
1664,2006-01-06,345
1771,2006-12-01,345
1771,2006-11-10,336
1771,2006-11-17,333
1664,2006-02-10,331
1771,2006-05-19,329
1664,2006-02-03,329
1771,2006-09-29,326
1664,2006-12-08,321
1771,2006-09-22,321
1664,2006-03-24,321
1771,2006-01-13,320
1771,2006-03-24,318
1664,2006-04-21,318
1771,2006-04-21,318
1771,2006-10-20,316
1664,2006-03-31,316
1664,2006-12-01,314
1771,2006-04-28,313
1664,2006-01-20,313
1664,2006-09-22,311
1771,2006-07-28,311
1664,2006-04-07,310
1771,2006-05-05,310
1664,2006-05-05,309
1664,2006-02-24,308
1664,2006-09-29,308
1771,2006-12-29,307
1771,2006-08-04,307
1771,2006-07-21,306
1664,2006-12-15,305
1664,2006-06-23,305
1664,2006-03-17,304
1771,2006-05-12,303
1771,2006-05-26,303
1771,2006-09-15,303
1771,2006-11-03,302
1664,2006-02-17,302
1771,2006-04-07,302
1771,2006-06-09,302
1771,2006-10-13,301
1664,2006-04-28,301
1771,2006-07-14,300
1771,2006-08-25,297
1771,2006-10-27,296
1771,2006-03-31,296
1771,2006-10-06,295
1771,2006-01-20,293
1664,2006-11-03,293
1771,2006-11-24,292
1664,2006-03-10,292
1664,2006-06-16,291
1771,2006-03-17,291
1664,2006-08-18,290
1771,2006-02-10,290
1771,2006-06-16,290
1771,2006-02-03,290
1664,2006-05-12,289
1771,2006-06-23,289
1771,2006-01-27,289
1771,2006-06-30,288
1664,2006-08-25,287
1664,2006-10-20,287
1664,2006-06-30,285
1771,2006-01-06,284
1664,2006-11-17,284
1664,2006-09-15,284
1771,2006-08-11,283
1664,2006-03-03,283
1664,2006-10-27,283
1771,2006-03-03,282
1771,2006-09-08,280
1771,2006-08-18,279
1771,2006-02-24,278
1664,2006-05-19,277
