issuer_id,week_end,n_bonds
1771,2009-03-06,457
1771,2009-11-20,451
1771,2009-03-13,431
1771,2009-08-21,430
1771,2009-10-23,421
1771,2009-12-11,420
1771,2009-08-14,411
1771,2009-12-04,407
1771,2009-12-18,403
1771,2009-02-27,403
1771,2009-11-06,397
1771,2009-09-25,394
1771,2009-11-13,392
1771,2009-08-28,390
1771,2009-09-18,389
1771,2009-10-16,384
1771,2009-09-04,383
1771,2009-10-30,380
1771,2009-09-11,378
1771,2009-08-07,377
1771,2009-11-27,375
1771,2009-07-31,372
1771,2009-10-09,368
1771,2009-07-17,364
1771,2009-10-02,362
1771,2009-02-20,359
1771,2009-07-24,353
1771,2010-01-01,347
33717,2009-11-20,345
1771,2009-07-10,338
1771,2009-01-30,337
1771,2009-06-26,329
1771,2009-03-20,329
1771,2009-02-06,328
1771,2009-02-13,328
1771,2009-12-25,327
1771,2009-06-19,323
33717,2009-10-23,322
33717,2009-10-09,321
33717,2009-12-18,319
33717,2009-09-18,315
33717,2009-01-23,314
33717,2009-12-11,313
1771,2009-06-05,313
33717,2009-01-30,310
1771,2009-06-12,307
1771,2009-05-22,307
33717,2009-12-04,307
1771,2009-01-16,304
1771,2009-05-15,302
33717,2009-10-30,300
33717,2009-03-13,299
1771,2009-07-03,298
33717,2009-11-13,297
33717,2009-10-02,296
1771,2009-05-08,295
33717,2009-02-27,294
33717,2009-10-16,293
1771,2009-05-01,293
33717,2009-02-06,291
1771,2009-04-17,289
1771,2009-04-03,288
1771,2009-04-24,287
33717,2009-11-06,285
1771,2009-05-29,285
33717,2009-09-04,284
1771,2009-01-09,283
33717,2009-09-25,282
33717,2009-08-28,281
1771,2009-01-23,277
33717,2009-02-20,277
33717,2009-02-13,276
1781,2009-05-29,274
1771,2009-03-27,274
33717,2009-11-27,270
33717,2009-08-07,270
1781,2009-05-22,269
1781,2009-06-05,268
1781,2009-02-06,267
33717,2009-09-11,267
33717,2009-07-24,266
1781,2009-05-08,264
33717,2009-03-06,263
33717,2009-03-20,263
33717,2009-01-16,263
33717,2009-07-31,262
33717,2009-08-21,258
1781,2009-01-30,258
1781,2009-01-09,258
1781,2009-05-15,257
33717,2009-06-19,256
33717,2009-06-26,255
1781,2009-06-12,252
33717,2010-01-01,252
33717,2009-01-09,251
33717,2009-12-25,249
33717,2009-08-14,246
33717,2009-07-17,233
1781,2009-11-06,229
1781,2009-11-20,229
1781,2009-06-19,229
33717,2009-06-12,228
33717,2009-07-10,228
1781,2009-08-07,228
1781,2009-10-30,227
1781,2009-01-23,227
1781,2009-12-11,225
33717,2009-06-05,225
33717,2009-03-27,225
33717,2009-07-03,223
1781,2009-01-16,222
1781,2009-06-26,222
33717,2009-05-08,222
1781,2009-07-24,222
