week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2006-01-06,7403,1784,7403,494
2006-01-13,7801,1874,7801,519
2006-01-20,7305,1796,7305,509
2006-01-27,7694,1883,7694,536
2006-02-03,7630,1867,7630,542
2006-02-10,7430,1880,7430,528
2006-02-17,7400,1847,7400,538
2006-02-24,7185,1770,7185,500
2006-03-03,7419,1864,7419,520
2006-03-10,7347,1842,7347,516
2006-03-17,7472,1863,7472,531
2006-03-24,7719,1901,7719,533
2006-03-31,7637,1865,7637,539
2006-04-07,7504,1855,7504,526
2006-04-14,6919,1720,6919,476
2006-04-21,7825,1864,7825,543
2006-04-28,7762,1873,7762,556
2006-05-05,7683,1863,7683,533
2006-05-12,7575,1851,7575,515
2006-05-19,7539,1837,7539,507
2006-05-26,7384,1859,7384,507
2006-06-02,7004,1777,7004,496
2006-06-09,7332,1806,7332,528
2006-06-16,7357,1796,7357,500
2006-06-23,7339,1829,7339,516
2006-06-30,7302,1817,7302,523
2006-07-07,6058,1582,6058,438
2006-07-14,7119,1775,7119,499
2006-07-21,7121,1755,7121,495
2006-07-28,7391,1809,7391,525
2006-08-04,7105,1767,7105,511
2006-08-11,7032,1730,7032,503
2006-08-18,7159,1779,7159,490
2006-08-25,7243,1752,7243,516
2006-09-01,6797,1673,6797,477
2006-09-08,6657,1681,6657,470
2006-09-15,7348,1808,7348,501
2006-09-22,7519,1826,7519,536
2006-09-29,7665,1853,7665,548
2006-10-06,7043,1773,7043,509
2006-10-13,7088,1754,7088,501
2006-10-20,7441,1798,7441,535
2006-10-27,7428,1799,7428,517
2006-11-03,7459,1802,7459,526
2006-11-10,7354,1796,7354,506
2006-11-17,7680,1816,7680,524
2006-11-24,6382,1572,6382,458
2006-12-01,7750,1838,7750,524
2006-12-08,7700,1816,7700,521
2006-12-15,7777,1818,7777,532
2006-12-22,7623,1768,7623,514
2006-12-29,5798,1297,5798,384
