week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2008-01-04,5602,1386,5602,421
2008-01-11,6784,1561,6784,463
2008-01-18,6807,1598,6807,488
2008-01-25,6484,1549,6484,471
2008-02-01,6862,1597,6862,512
2008-02-08,6556,1555,6556,485
2008-02-15,6297,1581,6297,493
2008-02-22,6052,1505,6052,466
2008-02-29,6545,1579,6545,494
2008-03-07,6294,1506,6294,470
2008-03-14,6279,1495,6279,467
2008-03-21,5986,1455,5986,440
2008-03-28,7022,1602,7022,501
2008-04-04,6769,1597,6769,495
2008-04-11,6728,1609,6728,505
2008-04-18,6649,1585,6649,508
2008-04-25,6665,1600,6665,499
2008-05-02,6612,1592,6612,521
2008-05-09,6693,1593,6693,513
2008-05-16,6521,1593,6521,517
2008-05-23,6504,1588,6504,514
2008-05-30,6495,1574,6495,513
2008-06-06,6408,1593,6408,499
2008-06-13,6498,1548,6498,503
2008-06-20,6630,1564,6630,534
2008-06-27,6761,1637,6761,534
2008-07-04,5708,1417,5708,449
2008-07-11,6536,1525,6536,508
2008-07-18,6583,1532,6583,520
2008-07-25,6679,1599,6679,534
2008-08-01,6234,1544,6234,495
2008-08-08,6291,1524,6291,489
2008-08-15,6272,1532,6272,505
2008-08-22,6256,1516,6256,493
2008-08-29,6039,1470,6039,489
2008-09-05,5779,1454,5779,488
2008-09-12,6232,1536,6232,495
2008-09-19,5908,1362,5908,453
2008-09-26,6291,1500,6291,479
2008-10-03,5729,1385,5729,439
2008-10-10,5613,1348,5613,424
2008-10-17,5684,1362,5684,443
2008-10-24,5852,1410,5852,482
2008-10-31,5894,1454,5894,499
2008-11-07,5589,1391,5589,478
2008-11-14,5311,1298,5311,422
2008-11-21,5975,1392,5975,470
2008-11-28,5091,1295,5091,424
2008-12-05,5863,1455,5863,487
2008-12-12,5900,1442,5900,500
2008-12-19,6164,1487,6164,511
2008-12-26,4773,1211,4773,401
2009-01-02,4761,1189,4761,391
