issuer_id,week_end,n_bonds
1771,2014-01-17,348
1771,2014-08-22,336
1771,2014-05-09,333
1771,2014-03-21,332
1771,2014-01-10,332
1771,2014-06-13,330
1771,2014-11-21,329
1771,2014-12-12,326
1771,2014-06-06,326
1771,2014-05-16,324
1771,2014-06-20,323
1771,2014-03-28,323
1771,2014-11-07,320
1771,2014-10-17,319
1771,2014-12-05,319
1771,2014-02-07,319
1771,2014-09-26,318
1771,2014-05-02,318
1771,2014-07-18,318
1771,2014-10-24,318
1771,2014-06-27,318
1771,2014-08-08,317
1771,2014-08-15,317
1771,2014-05-23,317
1771,2014-12-19,316
33695,2014-11-21,315
1771,2014-04-25,315
1771,2014-09-19,315
1771,2014-05-30,315
1771,2014-07-11,313
1771,2014-08-01,313
1771,2014-07-25,313
1771,2014-03-14,313
1771,2014-08-29,313
1771,2014-01-31,312
1771,2014-09-12,312
1771,2014-02-28,312
1771,2014-10-10,311
1771,2014-03-07,310
33695,2014-12-19,310
33695,2014-12-05,310
33695,2014-07-18,308
33695,2014-12-12,308
33695,2014-07-11,307
1771,2014-10-31,305
33695,2014-09-26,304
33695,2014-08-22,303
1771,2014-11-14,303
1771,2014-01-24,303
1771,2014-04-11,302
1771,2014-02-21,302
1771,2014-04-04,300
1771,2014-10-03,299
33695,2014-10-10,296
33695,2014-06-27,296
33695,2014-04-25,295
33695,2014-08-29,295
1771,2014-09-05,294
1771,2014-02-14,293
1771,2014-07-04,291
33695,2014-09-19,290
33695,2014-06-06,288
33695,2014-05-30,287
33695,2014-08-15,286
33695,2014-05-23,286
33695,2014-10-03,285
33695,2014-10-17,285
33695,2014-10-31,285
33695,2014-05-02,285
33695,2014-08-08,284
33695,2014-08-01,284
33695,2014-10-24,283
33695,2014-06-20,281
33695,2014-06-13,280
1771,2014-11-28,278
33695,2014-07-25,277
33695,2014-11-14,277
33695,2014-11-07,277
33695,2014-05-09,275
33695,2014-01-17,274
33695,2014-09-12,274
33695,2014-05-16,272
1771,2014-04-18,272
33695,2014-02-28,271
33695,2014-01-10,271
33695,2014-02-14,270
33695,2014-04-04,270
33695,2014-09-05,268
33695,2014-03-28,266
33695,2014-02-07,263
33695,2014-02-21,261
33695,2014-03-07,260
33695,2014-11-28,260
33695,2014-07-04,259
33695,2014-04-11,255
1771,2014-12-26,255
33695,2014-04-18,255
33695,2014-01-31,254
33695,2014-01-24,250
33695,2014-03-21,250
33695,2014-03-14,248
1771,2015-01-02,242
33695,2014-12-26,235
1771,2014-01-03,231
33695,2015-01-02,230
33695,2014-01-03,186
33717,2014-09-19,146
33717,2014-11-21,146
33717,2014-12-12,143
33717,2014-12-19,143
33717,2014-12-05,142
33717,2014-08-22,142
33717,2014-10-24,140
33717,2014-07-11,140
33717,2014-05-02,140
33717,2014-11-14,139
33717,2014-06-06,138
33717,2014-07-18,137
33717,2014-10-31,136
33717,2014-04-04,136
33717,2014-10-10,136
33717,2014-03-21,136
33717,2014-05-23,136
33717,2014-05-30,136
33717,2014-01-31,135
33717,2014-09-26,135
33717,2014-02-28,135
33717,2014-08-01,134
33717,2014-11-07,134
33717,2014-06-27,133
33717,2014-10-17,132
33717,2014-10-03,131
33717,2014-09-05,130
33717,2014-03-14,130
33717,2014-09-12,129
33717,2014-07-25,129
33717,2014-06-13,129
33717,2014-05-16,128
33717,2014-08-08,128
33717,2014-02-14,127
33717,2014-08-29,127
33717,2014-04-25,127
33717,2014-07-04,127
33717,2014-03-28,126
33717,2014-01-24,126
33717,2014-12-26,126
33717,2014-11-28,126
33717,2014-02-07,126
33717,2014-05-09,126
33717,2014-03-07,126
33717,2014-02-21,126
33717,2014-08-15,125
33717,2014-01-10,125
36718,2014-06-27,123
33717,2014-04-11,122
33717,2014-04-18,121
33717,2014-01-17,120
36718,2014-05-02,116
33717,2014-06-20,115
36718,2014-05-09,112
33717,2015-01-02,110
35004,2014-03-21,99
36718,2014-07-25,99
35004,2014-01-31,99
35004,2014-02-21,98
35004,2014-03-07,98
36718,2014-02-28,96
35004,2014-04-11,96
35004,2014-07-11,96
35004,2014-06-06,95
36718,2014-04-25,95
35004,2014-02-28,95
35004,2014-05-16,95
33717,2014-01-03,95
35004,2014-02-14,94
35004,2014-01-24,94
35004,2014-05-23,94
35004,2014-07-18,94
36718,2014-04-04,94
35004,2014-04-25,94
35004,2014-02-07,93
35004,2014-09-12,93
35004,2014-09-26,93
35004,2014-12-19,92
35004,2014-03-14,92
36718,2014-08-22,92
35004,2014-11-21,92
1284,2014-11-21,92
1284,2014-10-31,92
35004,2014-01-10,92
35004,2014-01-17,92
36718,2014-06-06,91
1284,2014-10-24,90
35004,2014-12-05,90
35004,2014-11-14,89
36718,2014-03-21,89
35004,2014-11-07,89
1284,2014-12-12,89
35004,2014-10-03,89
35004,2014-05-30,89
35004,2014-05-09,89
35004,2014-10-24,89
36718,2014-03-14,88
1284,2014-09-19,88
36718,2014-06-13,88
35004,2014-08-15,88
35004,2014-08-29,88
35004,2014-12-12,87
35004,2014-09-05,87
36718,2014-05-16,87
36718,2014-08-01,87
36718,2014-07-18,87
35004,2014-08-01,87
1284,2014-12-19,87
1284,2014-12-05,87
35004,2014-04-04,87
36718,2014-04-18,87
35004,2014-10-17,87
35004,2014-07-04,86
36718,2014-04-11,86
36718,2014-05-30,86
36718,2014-11-21,86
35004,2014-03-28,86
36718,2014-03-07,86
35004,2014-06-20,86
35004,2014-09-19,86
35004,2014-10-10,85
35004,2014-06-13,85
36718,2014-01-17,84
36718,2014-07-11,84
35004,2014-04-18,84
1284,2014-08-22,84
35004,2014-05-02,83
35004,2014-06-27,83
35004,2014-10-31,83
36718,2014-07-04,82
35004,2014-08-08,82
36718,2014-06-20,82
35004,2014-08-22,82
36718,2014-05-23,81
35004,2014-07-25,81
1284,2014-08-15,80
36718,2014-03-28,80
36718,2014-09-26,80
36718,2014-10-17,79
1284,2014-11-14,79
36718,2014-12-12,79
36718,2014-10-31,78
36718,2014-11-07,78
36718,2014-08-15,77
36718,2014-08-29,77
1284,2014-06-20,76
1284,2014-10-17,76
37581,2014-11-21,75
41821,2014-12-19,75
35004,2014-01-03,75
36718,2014-09-12,75
36718,2014-02-07,75
36718,2014-10-03,75
36718,2014-11-14,74
1284,2014-04-25,74
1284,2014-10-10,74
1284,2014-01-10,74
36718,2014-02-14,73
37581,2014-10-31,73
35004,2014-11-28,72
1284,2014-07-18,72
1284,2014-09-12,72
36718,2014-02-21,72
1284,2014-08-29,72
36718,2014-08-08,70
1284,2014-09-26,70
37581,2014-10-24,70
36718,2014-10-10,69
36718,2014-10-24,69
38268,2014-01-17,69
1284,2014-04-04,69
1284,2015-01-02,69
35004,2014-12-26,68
37581,2014-05-02,68
1284,2014-02-21,68
1284,2014-05-23,68
1284,2014-05-16,68
37581,2014-10-17,68
36718,2014-12-05,68
36718,2014-09-19,67
37581,2014-09-19,67
1284,2014-10-03,67
1284,2014-01-17,67
1284,2014-11-07,67
37581,2014-08-15,67
36718,2014-01-10,67
36718,2014-09-05,67
38268,2014-01-10,66
35004,2015-01-02,66
1284,2014-09-05,66
1284,2014-07-25,66
37581,2014-12-19,65
38268,2014-02-28,65
37581,2014-08-29,65
