week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2025-01-03,8812,1436,8812,778
2025-01-10,10273,1528,10273,830
2025-01-17,10351,1549,10351,836
2025-01-24,10221,1544,10221,817
2025-01-31,10418,1540,10418,838
2025-02-07,10311,1540,10311,833
2025-02-14,10379,1550,10379,835
2025-02-21,10200,1533,10200,832
2025-02-28,10561,1539,10561,832
2025-03-07,10414,1530,10414,828
2025-03-14,10547,1536,10547,826
2025-03-21,10533,1524,10533,831
2025-03-28,10476,1543,10476,830
2025-04-04,8745,1385,8745,783
