week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2004-01-02,2075,615,2075,156
2004-01-09,7662,1879,7662,576
2004-01-16,7493,1842,7493,551
2004-01-23,7194,1764,7194,538
2004-01-30,7562,1833,7562,551
2004-02-06,7335,1840,7335,544
2004-02-13,7290,1818,7290,536
2004-02-20,7105,1750,7105,527
2004-02-27,7539,1905,7539,549
2004-03-05,7294,1828,7294,537
2004-03-12,7410,1803,7410,532
2004-03-19,7394,1797,7394,527
2004-03-26,7372,1835,7372,529
2004-04-02,7311,1849,7311,538
2004-04-09,6643,1688,6643,487
2004-04-16,7542,1832,7542,542
2004-04-23,7410,1833,7410,556
2004-04-30,7301,1846,7301,549
2004-05-07,7196,1817,7196,530
2004-05-14,7328,1826,7328,535
2004-05-21,7353,1826,7353,532
2004-05-28,7228,1838,7228,540
2004-06-04,6592,1716,6592,487
2004-06-11,6939,1777,6939,519
2004-06-18,7495,1882,7495,548
2004-06-25,7524,1902,7524,551
2004-07-02,7133,1860,7133,531
2004-07-09,6820,1767,6820,515
2004-07-16,7171,1832,7171,532
2004-07-23,7087,1833,7087,536
2004-07-30,7035,1854,7035,535
2004-08-06,6950,1790,6950,514
2004-08-13,7007,1801,7007,516
2004-08-20,7129,1830,7129,533
2004-08-27,7114,1828,7114,524
2004-09-03,6543,1679,6543,480
2004-09-10,6640,1788,6640,496
2004-09-17,7189,1858,7189,530
2004-09-24,7284,1883,7284,535
2004-10-01,7119,1863,7119,510
2004-10-08,6898,1798,6898,514
2004-10-15,6877,1734,6877,506
2004-10-22,7123,1800,7123,512
2004-10-29,7309,1829,7309,533
2004-11-05,7225,1798,7225,525
2004-11-12,7066,1792,7066,504
2004-11-19,7757,1878,7757,543
2004-11-26,6370,1628,6370,475
2004-12-03,7550,1881,7550,546
2004-12-10,7691,1864,7691,540
2004-12-17,7763,1917,7763,545
2004-12-24,6656,1700,6656,468
2004-12-31,6247,1441,6247,433
