issuer_id,week_end,n_bonds
1771,2012-11-30,540
1771,2012-04-20,525
1771,2012-09-21,514
1771,2012-08-24,511
1771,2012-12-07,511
1771,2012-10-19,510
1771,2012-02-17,505
1771,2012-07-20,499
1771,2012-10-05,497
1771,2012-04-13,497
1771,2012-05-18,492
1771,2012-12-14,491
1771,2012-09-14,489
1771,2012-06-08,487
1771,2012-05-25,487
1771,2012-06-22,485
1771,2012-08-03,482
1771,2012-11-16,482
1771,2012-08-31,481
1771,2012-08-17,479
1771,2012-03-30,479
1771,2012-05-04,477
1771,2012-06-01,477
1771,2012-11-23,476
1771,2012-06-29,475
1771,2012-06-15,474
1771,2012-09-28,472
1771,2012-03-23,471
1771,2012-03-02,470
1771,2012-07-13,469
1771,2012-04-27,468
1771,2012-05-11,468
1771,2012-03-09,461
1771,2012-09-07,460
1771,2012-02-10,458
1771,2012-03-16,458
1771,2012-10-26,458
1771,2012-12-21,455
1771,2012-11-09,455
1771,2012-10-12,454
1771,2012-02-03,451
1771,2012-08-10,449
1771,2012-01-27,443
1771,2012-02-24,440
1771,2012-04-06,435
1771,2012-01-13,432
1771,2012-07-27,428
1771,2012-01-20,408
1771,2012-07-06,398
1771,2012-11-02,396
1771,2012-01-06,392
33717,2012-05-18,357
33717,2012-01-13,350
33717,2012-05-25,348
1771,2012-12-28,346
33717,2012-02-17,342
33717,2012-02-10,337
33717,2012-06-01,336
33717,2012-02-03,335
33717,2012-04-20,334
33717,2012-01-06,333
33717,2012-06-08,326
33717,2012-04-27,323
33717,2012-03-09,323
33717,2012-03-16,323
33717,2012-05-11,322
33717,2012-05-04,319
33717,2012-03-23,318
33717,2012-03-02,317
33717,2012-01-27,313
33717,2012-03-30,307
33717,2012-04-13,307
33717,2012-02-24,306
33717,2012-01-20,296
33717,2012-04-06,272
33717,2012-06-15,270
33717,2012-06-22,267
33695,2012-12-21,264
33695,2012-11-30,261
33717,2012-07-20,260
33717,2012-06-29,259
33695,2012-12-14,257
33695,2012-12-07,248
33695,2012-11-09,244
33695,2012-11-16,243
33717,2012-07-13,239
33695,2012-11-23,230
33695,2012-10-26,225
33717,2012-07-27,225
33695,2012-09-28,223
33695,2012-10-05,220
33717,2012-07-06,219
1781,2012-05-11,218
33717,2012-08-10,218
1781,2012-03-30,218
33717,2012-08-03,216
1781,2012-03-23,215
33717,2012-08-17,214
33695,2012-10-19,213
33695,2012-12-28,213
33695,2012-11-02,208
1781,2012-05-18,206
33695,2012-10-12,205
33695,2012-09-21,201
33717,2012-08-24,200
33717,2012-08-31,199
33695,2012-09-14,197
1781,2012-04-13,196
1781,2012-04-27,192
33695,2012-08-24,191
1781,2012-04-20,190
1781,2012-01-27,189
33695,2012-08-17,188
1781,2012-05-25,188
1781,2012-02-10,188
1781,2012-05-04,187
1781,2012-03-02,187
33695,2012-09-07,187
33695,2012-08-31,186
33717,2012-09-07,186
33717,2012-09-14,186
1781,2012-02-03,185
1781,2012-02-17,185
1781,2012-03-16,185
1781,2012-01-13,185
1781,2012-04-06,184
1781,2012-06-15,182
1781,2012-02-24,179
1781,2012-08-03,178
1781,2012-08-17,178
1781,2012-08-10,176
1781,2012-06-01,175
1781,2012-06-22,174
1781,2012-01-20,174
1781,2012-06-08,174
33717,2012-10-26,174
33717,2012-09-21,174
1781,2012-06-29,173
33695,2012-07-20,173
1781,2012-08-24,173
1781,2012-03-09,173
1781,2012-09-21,172
1781,2012-12-07,172
33695,2012-08-03,171
1781,2012-07-20,170
1781,2012-09-14,169
33717,2012-09-28,169
1781,2012-12-14,168
1781,2012-11-16,166
1781,2012-11-30,166
1781,2012-01-06,166
