issuer_id,week_end,n_bonds
1781,2007-01-05,491
1781,2007-01-26,491
1781,2007-01-12,490
1781,2007-03-09,483
1781,2007-01-19,483
1781,2007-02-02,481
1781,2007-02-09,475
1781,2007-03-23,465
1781,2007-03-02,465
1781,2007-03-16,464
1781,2007-02-16,461
1781,2007-04-13,461
1781,2007-04-20,443
1781,2007-02-23,441
1781,2007-09-14,439
1781,2007-03-30,435
1781,2007-05-18,434
1781,2007-05-11,426
1781,2007-04-27,424
1781,2007-05-25,419
1781,2007-06-15,417
1781,2007-06-08,414
1781,2007-06-22,410
1781,2007-05-04,407
1781,2007-06-29,407
1781,2007-04-06,405
1781,2007-09-21,404
1781,2007-08-17,404
1781,2007-08-24,401
1781,2007-07-20,400
1781,2007-07-13,392
1781,2007-11-30,387
1781,2007-10-19,382
1781,2007-07-27,380
1781,2007-09-28,380
1781,2007-08-31,380
1781,2007-08-10,379
1771,2007-06-15,379
1781,2007-12-21,379
1781,2007-06-01,377
1781,2007-12-07,373
1781,2007-10-26,372
1781,2007-12-14,371
1781,2007-10-05,370
1781,2007-09-07,368
1781,2007-11-16,365
1781,2007-08-03,361
1781,2007-11-02,361
1781,2007-10-12,359
1781,2007-11-09,356
1771,2007-12-21,348
1771,2007-01-12,346
1771,2007-06-08,345
1781,2007-11-23,345
1771,2007-11-30,345
1771,2007-04-13,339
1771,2007-04-27,337
1771,2007-02-09,337
1781,2007-07-06,337
1771,2007-05-11,336
1771,2007-05-04,333
1771,2007-06-22,333
1771,2007-02-16,332
1771,2007-12-07,332
1771,2007-06-29,332
1771,2007-04-20,332
1771,2007-11-16,332
1771,2007-05-25,331
1771,2007-12-14,331
1771,2007-03-02,330
1771,2007-03-23,329
1771,2007-07-20,328
1771,2007-03-30,326
1771,2007-01-26,325
1771,2007-09-28,324
1771,2007-05-18,322
1771,2007-03-09,321
1771,2007-11-09,320
1771,2007-10-26,319
1771,2007-03-16,318
1771,2007-10-12,316
1771,2007-11-02,315
1781,2007-12-28,315
1771,2007-02-23,315
1771,2007-02-02,314
1771,2007-01-19,311
1771,2007-06-01,310
1771,2007-09-14,303
1771,2007-01-05,303
1771,2007-09-21,303
1771,2007-07-13,302
1771,2007-10-05,302
1771,2007-10-19,295
1771,2007-08-10,293
1771,2007-08-24,289
1771,2007-07-27,287
1771,2007-11-23,283
1771,2007-08-17,281
1771,2007-08-03,281
1771,2007-08-31,280
1664,2007-01-05,276
1664,2007-02-02,274
1771,2007-04-06,272
33717,2007-11-30,270
1664,2007-01-26,268
33717,2007-06-29,265
1664,2007-02-16,264
33717,2007-12-21,263
1771,2007-07-06,260
1771,2007-09-07,258
1664,2007-01-12,256
33717,2007-12-07,255
1771,2007-12-28,255
33717,2007-12-14,254
1664,2007-03-16,251
1664,2007-02-09,249
33717,2007-11-16,247
33717,2007-05-11,246
33717,2007-01-12,246
1664,2007-02-23,245
33717,2007-06-15,245
33717,2007-06-08,244
33717,2007-07-20,243
1664,2007-01-19,242
33717,2007-01-19,241
33717,2007-06-22,240
33717,2007-09-14,238
1664,2007-03-09,238
33717,2007-02-09,237
33717,2007-05-18,236
1664,2007-04-27,235
33717,2007-04-27,235
33717,2007-10-26,235
1664,2007-03-23,235
33717,2007-04-13,233
33717,2007-03-09,233
1664,2007-04-20,233
1664,2007-05-18,233
33717,2007-09-21,230
1664,2007-04-13,230
33717,2007-03-02,230
33717,2007-07-27,229
33717,2007-08-03,228
33717,2007-11-02,228
33717,2007-02-16,228
1664,2007-03-30,227
1664,2007-06-08,227
33717,2007-07-13,226
33717,2007-09-28,226
33717,2007-05-25,226
33717,2007-04-20,225
1664,2007-05-04,225
33717,2007-10-12,223
33717,2007-02-23,223
33717,2007-01-26,222
1664,2007-06-22,220
33717,2007-08-17,220
1664,2007-03-02,220
33717,2007-08-24,218
33717,2007-08-31,218
33717,2007-05-04,218
33717,2007-11-09,218
33717,2007-10-19,217
33717,2007-02-02,216
33717,2007-10-05,215
1664,2007-06-15,214
1664,2007-06-01,214
33717,2007-01-05,212
1664,2007-05-25,210
1664,2007-05-11,210
33717,2007-06-01,210
33717,2007-03-23,210
33717,2007-08-10,209
33717,2007-03-30,208
33717,2007-03-16,207
1664,2007-04-06,206
33717,2007-07-06,203
33717,2007-11-23,201
33717,2007-12-28,201
1664,2007-07-13,201
756,2007-06-22,199
1664,2007-08-24,198
2089,2007-01-26,198
1664,2007-09-21,197
2089,2007-02-09,196
1664,2007-07-20,196
1664,2007-09-28,195
1664,2007-10-12,195
1664,2007-11-30,194
1781,2008-01-04,193
756,2007-06-15,193
1664,2007-07-06,193
1664,2007-06-29,192
2089,2007-06-15,192
2089,2007-01-12,192
2089,2007-01-19,191
1664,2007-07-27,191
2089,2007-02-02,189
1664,2007-08-10,188
2089,2007-03-09,187
33717,2007-04-06,187
33717,2007-09-07,186
1664,2007-08-17,186
2089,2007-05-11,186
1664,2007-10-05,185
1664,2007-10-19,184
2089,2007-03-23,184
2089,2007-05-04,183
2089,2007-03-16,182
1664,2007-12-14,181
1664,2007-08-03,179
2089,2007-05-18,179
2089,2007-02-23,178
36718,2007-04-20,178
1664,2007-12-21,178
1664,2007-12-07,178
2089,2007-01-05,177
2089,2007-03-02,177
36718,2007-04-27,176
2089,2007-02-16,176
756,2007-06-29,176
1664,2007-10-26,174
756,2007-04-20,173
2089,2007-03-30,172
1664,2007-11-02,171
2089,2007-06-22,171
756,2007-05-18,170
1664,2007-09-14,169
1664,2007-12-28,168
2089,2007-04-06,168
1664,2007-11-16,168
36495,2007-06-22,167
756,2007-09-28,166
1664,2007-11-09,164
2089,2007-04-13,164
756,2007-01-19,164
756,2007-11-02,164
756,2007-04-27,163
756,2007-11-30,162
2089,2007-04-20,162
756,2007-01-12,161
2089,2007-07-13,161
756,2007-05-11,161
2089,2007-06-08,161
756,2007-02-09,160
36495,2007-04-20,159
1664,2007-08-31,158
756,2007-05-04,158
756,2007-12-21,158
756,2007-12-14,157
2089,2007-05-25,157
2089,2007-06-29,156
756,2007-05-25,156
756,2007-07-20,156
2089,2007-06-01,155
756,2007-06-08,155
2089,2007-04-27,155
756,2007-03-30,155
2089,2007-08-24,154
756,2007-10-26,153
756,2007-02-16,152
756,2007-03-02,151
2089,2007-08-03,151
756,2007-04-13,151
756,2007-03-09,150
756,2007-03-23,150
36495,2007-04-27,150
756,2007-10-12,149
32503,2007-12-14,149
756,2007-07-27,148
2089,2007-08-17,147
1664,2007-09-07,147
36495,2007-06-29,147
2089,2007-08-10,146
32503,2007-04-20,146
36495,2007-02-09,145
32503,2007-04-27,145
32503,2007-12-21,145
756,2007-12-07,144
756,2007-07-13,144
756,2007-08-03,144
32503,2007-04-13,143
36495,2007-03-09,143
2089,2007-07-20,143
756,2007-11-16,142
756,2007-03-16,142
36495,2007-03-02,141
756,2007-01-26,140
756,2007-08-24,140
36495,2007-02-16,139
