issuer_id,feature_month,target_month,issuer_n,k_each_side,long_ret,short_ret,issuer_spread,long_mean_residual_bps,short_mean_residual_bps
3826,2004-07-31,2004-08-31,5,1,4.829847543042193,-1.198365472408721,6.028213015450914,551.2351649075722,-916.9014886733158
3973,2009-03-31,2009-04-30,3,1,3.2377963528856597,-1.6195802987825163,4.857376651668176,3.350903483578804e-05,1.2050296049892495e-05
707,2004-04-30,2004-05-31,5,1,2.9309204616890794,-0.7580097944859543,3.6889302561750337,0.5616825736782793,-2.3724810029112753
2032,2009-04-30,2009-05-31,3,1,1.6299282077011454,-0.8883750582161974,2.5183032659173428,2.4868995751603507e-12,-3.552713678800501e-12
20,2008-12-31,2009-01-31,5,1,1.421985192441424,-0.6165600371566408,2.0385452295980646,927.5778425590665,2.803091092573595e-10
14687,2020-04-30,2020-05-31,3,1,1.209942115035628,-0.5229212869274433,1.7328634019630713,1.0089706847793423e-10,-4.227729277772596e-11
5100,2009-02-28,2009-03-31,3,1,0.8228372105629671,-0.8812366015882799,1.7040738121512469,786.9802791779634,-1489.5878208220363
38523,2007-08-31,2007-09-30,6,1,1.1296155532686234,-0.4201219238927342,1.5497374771613575,629.1266656656962,-628.4447343343039
650,2020-03-31,2020-04-30,7,1,1.2773044367988584,-0.185098298476832,1.4624027352756905,360.2123979776392,-217.10904765438664
1560,2009-03-31,2009-04-30,3,1,0.9232973663912546,-0.4364181836600758,1.3597155500513303,9.237055564881302e-12,6.394884621840902e-12
39619,2009-11-30,2009-12-31,4,1,0.9235294305606823,-0.32478851790436913,1.2483179484650515,31.220066303962923,-30.011169623741818
543,2008-08-31,2008-09-30,3,1,0.6326567135245301,-0.4672777122059676,1.0999344257304977,5.151449045115442e-07,2.3679653793351463e-07
3826,2004-06-30,2004-07-31,5,1,0.20595524232374646,-0.8398726452257694,1.045827887549516,9.901687156350825,-6.730178021995492
2465,2008-12-31,2009-01-31,5,1,0.7997915071520973,-0.18759566135396877,0.9873871685060661,60.79082776167546,-122.4337065987438
20,2009-03-31,2009-04-30,7,1,0.6340218847667491,-0.29017003067211944,0.9241919154388686,20.080891762689035,-193.28478648573332
920,2008-11-30,2008-12-31,3,1,0.4749510092374301,-0.4411078693945564,0.9160588786319865,294.82859009280384,-355.35950010847904
33851,2009-05-31,2009-06-30,5,1,0.706921754866767,-0.19472263299018688,0.9016443878569539,162.2559323608394,-187.8185847788739
37952,2008-12-31,2009-01-31,3,1,0.5589237180605023,-0.32848511979924544,0.8874088378597478,-1.1048939541069558e-09,-3.6052938412467483e-09
2357,2020-03-31,2020-04-30,3,1,0.37289884608695434,-0.501647634535925,0.8745464806228793,4.693134769695462e-10,2.474465077284549e-10
2819,2008-09-30,2008-10-31,4,1,0.41857700777624024,-0.45544622609374963,0.8740232338699898,373.73776624201207,-131.89997780826684
37024,2024-04-30,2024-05-31,4,1,0.5401590196211427,-0.32071030918854554,0.8608693288096883,150.29738985829582,-153.49952236857902
2518,2009-07-31,2009-08-31,6,1,0.45120338296480167,-0.3971322762742597,0.8483356592390614,316.81006905970503,-198.4700991164587
37278,2020-03-31,2020-04-30,8,1,0.7339348214459471,-0.1038291264624423,0.8377639479083894,1024.5229163948277,-540.032116227123
39431,2014-01-31,2014-02-28,3,1,0.24134343249120546,-0.5843988764994853,0.8257423089906908,7.069900220812997e-11,-1.5063505998114124e-10
2375,2008-11-30,2008-12-31,3,1,0.785149285472625,-0.038073344489917865,0.8232226299625428,0.0,-7.105427357601002e-13
