month,rows,cusips,trades,size_sum,yield_mean
2011-06-30,96072,9285,669400,327370099325.75,4.297461228619989
2011-07-31,83513,9050,535216,289088160866.61,4.312433286825957
2011-08-31,96556,9181,683717,349878417338.9,4.605561356031359
2011-09-30,83067,8828,609322,284204301838.43,4.734942641480114
2011-10-31,84980,8938,660506,302526620888.66,4.941158436329376
2011-11-30,82092,8898,639004,233841010696.01,4.673956957697194
2011-12-31,85665,9021,612963,204859411742.94,4.693613948596359
2012-01-31,87846,9023,721760,354250870376.58,4.493841579089052
2012-02-29,89016,9353,698892,261242468915.64,4.218261434221674
2012-03-31,100298,9488,766826,233283611432.38,4.159798534404356
2012-04-30,89756,9320,654920,200213693531.65,4.155496857959902
2012-05-31,97032,9508,685850,223485528219.98,4.141361775671812
2012-06-30,95947,9551,691114,211530011308.49,4.126420640687208
2012-07-31,87029,9388,616382,187231793985.1,3.856374916993588
2012-08-31,98978,9444,704649,258194877629.52,3.81170938358088
2012-09-30,87086,9272,638371,283978678297.97,3.6100070924728653
2012-10-31,92763,9316,644714,292359841444.71,3.519670246389596
2012-11-30,91356,9425,626388,269399312816.55,3.563669199708903
2012-12-31,90406,9525,594608,216230766049.7,3.473002441835969
2013-01-31,101031,9488,751703,354638079403.76,3.399736278429269
2013-02-28,92306,9353,675745,301897761392.41,3.420687969944578
2013-03-31,97081,9411,668916,302672412913.74,3.3660887166752924
2013-04-30,105082,9442,704497,329543241921.81,3.2334460575047843
2013-05-31,104069,9398,716966,345462099289.31,3.1759147349559083
2013-06-30,99727,9284,709847,326153335726.89,3.735060843717501
2013-07-31,102683,9330,694501,291259579825.28,3.7894966457300954
2013-08-31,101384,9295,668618,240273774884.74,3.8272569261008123
2013-09-30,96323,9192,688302,322856721657.32,3.8425276711168244
2013-10-31,104582,9237,702901,349453234501.61,3.655017481237131
2013-11-30,89858,9166,598825,282698312575.74,3.606373053490972
2013-12-31,96819,9290,606435,248433649132.88998,3.5857528317963667
2014-01-31,100827,9332,696420,352678543252.75,3.529676319566303
2014-02-28,90932,9254,634711,312363942593.24,3.4426413676402543
2014-03-31,101187,9387,684805,352243194790.82,3.404116310716358
2014-04-30,100576,9331,659529,335861764828.27,3.3870004833637153
2014-05-31,99313,9406,632391,325933135257.87,3.3092098212326087
2014-06-30,102001,9507,626385,312813712735.39,3.289495196974261
2014-07-31,103077,9525,602520,305744851103.62,3.32799254451377
2014-08-31,95718,9522,546489,257638729641.97,3.3737365336692307
2014-09-30,100437,9593,627385,332596872685.97,3.478314445881299
2014-10-31,107872,9617,662879,385094173904.15,3.536015976696373
2014-11-30,87837,9548,563435,290238179675.78,3.5805415835439898
2014-12-31,104073,9752,650287,306999644683.27997,3.82376330127202
2015-01-31,100784,9766,653165,355346782501.86,3.7203140090609708
2015-02-28,97479,9667,674430,379072947397.83997,3.6386989278162587
2015-03-31,113799,9939,735395,392957920721.37,3.691150878745435
2015-04-30,105817,9890,661994,344275700350.74,3.5426588476600673
2015-05-31,101044,9758,644666,339581650175.29,3.68742011728831
2015-06-30,112272,9883,693279,353290091302.98,3.8940382906301227
2015-07-31,108308,9774,648756,333655717356.07,4.080047891057576
2015-08-31,103588,9765,640771,317973576315.78,4.29930126360259
2015-09-30,106387,9829,657889,350871113881.03,4.3545455890684215
2015-10-31,109143,9835,719640,407974111169.8,4.366090910073738
2015-11-30,99232,9832,650552,305497540907.29,4.54976555080984
2015-12-31,109892,9807,706080,286482615934.87,5.075654236086558
2016-01-31,103186,9758,751802,378593684322.06,5.218821766408285
2016-02-29,107097,9710,810918,413488436478.35,5.249475742210755
2016-03-31,122110,9973,948562,489394756723.38,4.751021259351366
2016-04-30,114658,9837,829691,434704138630.69,4.336037889379408
2016-05-31,114071,9899,838201,394838871223.6,4.210864488193128
2016-06-30,120149,10026,837056,394355024096.72,3.9711625299369233
2016-07-31,107612,10008,738265,373846919049.28,3.674915543287207
2016-08-31,122098,10114,827189,376552269629.35,3.56600693211072
2016-09-30,113405,10028,771171,364271891731.29,3.508049227843198
2016-10-31,111609,10015,743634,378836977827.58,3.4879501445362595
2016-11-30,112708,10021,805509,388774039323.06,3.7388666229546805
2016-12-31,116262,10132,829047,308205915745.92,3.808664803510205
2017-01-31,116355,10119,911794,436400063888.05,3.689382204572088
2017-02-28,109735,9941,888054,419656543048.55,3.585442303308838
2017-03-31,135025,10234,1053853,494872285596.68,3.679755092127336
2017-04-30,107821,9817,770045,330739874754.02,3.547443260227764
2017-05-31,123320,10094,903812,421368124162.13,3.509178555027348
2017-06-30,124063,10113,883987,395007582529.47,3.4401338596737236
2017-07-31,107712,9856,737075,339815557376.98,3.4390206707444237
2017-08-31,123375,10052,856223,356013190972.29,3.4032310653297464
2017-09-30,111482,9994,785930,361447569887.73,3.397073888658846
2017-10-31,118987,9965,842638,402398362610.47,3.415798936076467
2017-11-30,116300,9966,852490,382471401451.69,3.5411021521102737
2017-12-31,110774,9971,778146,268549013822.71,3.5644365888636487
2018-01-31,125016,10204,1013537,444607532946.11,3.6390551934632422
2018-02-28,111588,9960,934869,414699553875.53,3.925230671264383
2018-03-31,120919,9977,940079,404663761503.16,4.055209030845451
2018-04-30,122411,10421,941126,384806282498.01,4.091561072629527
2018-05-31,130655,10431,1032968,409069062535.29,4.243962091242277
2018-06-30,127052,10393,981154,393003621304.42,4.253251847896725
2018-07-31,124069,10350,932499,350494824943.61,4.255180547625901
2018-08-31,135281,10503,1006080,340247429418.56,4.214616429745191
2018-09-30,117538,10374,908031,351399112054.54,4.295328621956484
2018-10-31,138209,10598,1109852,446607549505.47,4.4849734532721826
2018-11-30,125432,10583,1067299,400038297273.47,4.77420763695893
2018-12-31,116404,10430,964891,302786126368.9,4.8611434845927395
2019-01-31,135475,10592,1222133,523993697128.74,4.645202733163962
2019-02-28,120449,10367,1095794,445825365493.75,4.360793351138216
2019-03-31,132417,10497,1113342,481355596540.51,4.194058961554339
2019-04-30,131312,10367,1074166,431927241411.31,4.026051063074046
2019-05-31,134709,10382,1063293,403131481909.93,3.9938116556389924
2019-06-30,126651,10394,997575,428222363146.39,3.758300728637511
2019-07-31,134157,10510,1059756,398639094260.72,3.6127446288596787
2019-08-31,135761,10530,1008706,363910389597.55,3.466249641852497
2019-09-30,128498,10448,987199,403169461636.17,3.4219704604132026
2019-10-31,139009,10504,1053716,431081460630.55,3.39165781377995
2019-11-30,119438,10407,931730,369863403954.94,3.390473471935361
2019-12-31,127558,10509,952228,328562322968.84,3.3040127396872476
2020-01-31,135323,10501,1114107,451094517453.83,3.1512009308976623
2020-02-29,121251,10517,1004110,429480843727.28,3.0880028766617182
2020-03-31,137491,10679,1340720,613833980774.11,4.959329387016674
2020-04-30,136367,10612,1280992,598911335503.93,4.441207712546981
2020-05-31,129789,10676,1099953,551375981225.84,3.722127251531746
2020-06-30,144144,10844,1167626,561399165839.84,3.096649847081716
2020-07-31,139888,10849,1002584,428709241483.68,2.764706673832158
2020-08-31,131649,10880,951127,384647009838.29,2.57622394397154
2020-09-30,133407,10873,946112,408877524528.1,2.5856923758644914
2020-10-31,136949,10866,959826,450102421936.14,2.601602615387839
2020-11-30,122568,10829,894553,427211234252.82,2.4399856782429836
2020-12-31,139735,10971,996814,391120286631.62,2.1928554554402404
2021-01-31,128915,10845,1010405,492144111499.74,2.1665977913298917
2021-02-28,128374,10818,1027828,471906550131.31,2.1674158545123148
2021-03-31,156611,11027,1282283,573725347520.52,2.4073027465533983
2021-04-30,137973,10693,1044526,431730510969.98,2.3061780237372886
2021-05-31,126921,10621,921566,406026771515.92,2.263082204019436
2021-06-30,143553,10803,1060986,460812876708.54,2.1760544513868343
2021-07-31,131189,10491,890087,373956666961.99,2.0791972313476426
2021-08-31,135719,10591,899542,351590509815.03,2.104008772566667
2021-09-30,133773,10583,940287,418657600928.63,2.095685745424399
2021-10-31,129839,10635,899972,413870853852.78,2.269260828977578
2021-11-30,128894,10685,922153,388831550915.11,2.330907252631057
2021-12-31,135723,10651,953298,313768961026.77,2.399358471234149
2022-01-31,130564,10591,1051174,419531934824.28,2.67787807421881
2022-02-28,123946,10468,1030836,400561726636.01,3.10623745476243
2022-03-31,151202,10715,1359851,501642233811.85,3.5506374550615054
2022-04-30,133659,10491,1300121,423742340896.2,4.044419944681062
2022-05-31,140502,10639,1523302,454397088528.22,4.420246688227405
2022-06-30,142337,10519,1667475,459415835881.11,4.748296877679433
2022-07-31,131544,10384,1385853,370732634072.88,4.737931106550978
2022-08-31,151258,10714,1607871,418793624876.08997,4.6382422496375355
2022-09-30,144620,10747,1683680,441080696407.88,5.342404639260928
2022-10-31,141857,10752,1752821,442308387336.72,5.947019856213941
