week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2009-01-02,2485,790,2485,215
2009-01-09,6434,1522,6434,528
2009-01-16,6313,1504,6313,509
2009-01-23,6107,1429,6107,490
2009-01-30,6559,1493,6559,517
2009-02-06,6422,1480,6422,517
2009-02-13,6276,1464,6276,504
2009-02-20,5991,1404,5991,464
2009-02-27,6524,1480,6524,502
2009-03-06,6356,1474,6356,494
2009-03-13,6504,1491,6504,504
2009-03-20,6236,1457,6236,503
2009-03-27,6153,1511,6153,516
2009-04-03,6102,1538,6102,514
2009-04-10,5568,1414,5568,485
2009-04-17,6167,1496,6167,524
2009-04-24,6056,1492,6056,515
2009-05-01,6017,1507,6017,506
2009-05-08,6357,1520,6357,533
2009-05-15,6239,1518,6239,520
2009-05-22,6369,1515,6369,520
2009-05-29,6242,1499,6242,521
2009-06-05,6706,1573,6706,545
2009-06-12,6731,1591,6731,557
2009-06-19,6636,1563,6636,532
2009-06-26,6876,1608,6876,566
2009-07-03,6211,1494,6211,525
2009-07-10,6778,1558,6778,555
2009-07-17,6806,1524,6806,543
2009-07-24,7170,1587,7170,568
2009-07-31,7239,1585,7239,564
2009-08-07,7160,1597,7160,559
2009-08-14,7101,1577,7101,543
2009-08-21,7205,1592,7205,559
2009-08-28,7236,1597,7236,558
2009-09-04,7144,1570,7144,559
2009-09-11,7094,1587,7094,557
2009-09-18,7632,1632,7632,590
2009-09-25,7589,1659,7589,592
2009-10-02,7431,1635,7431,575
2009-10-09,7565,1669,7565,588
2009-10-16,7284,1590,7284,578
2009-10-23,7703,1642,7703,579
2009-10-30,7488,1638,7488,586
2009-11-06,7542,1654,7542,593
2009-11-13,7270,1637,7270,592
2009-11-20,7838,1712,7838,613
2009-11-27,6795,1571,6795,551
2009-12-04,7635,1674,7635,611
2009-12-11,7581,1675,7581,605
2009-12-18,7699,1687,7699,625
2009-12-25,6595,1520,6595,561
2010-01-01,6179,1427,6179,507
