week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2015-01-02,3147,1014,3147,339
2015-01-09,7828,1792,7828,769
2015-01-16,7730,1788,7730,758
2015-01-23,7563,1752,7563,752
2015-01-30,7831,1796,7831,773
2015-02-06,7816,1781,7816,783
2015-02-13,7774,1802,7774,770
2015-02-20,7468,1776,7468,757
2015-02-27,7822,1809,7822,775
2015-03-06,7870,1815,7870,775
2015-03-13,7701,1796,7701,775
2015-03-20,7932,1805,7932,778
2015-03-27,7951,1809,7951,776
2015-04-03,7622,1766,7622,763
2015-04-10,7962,1817,7962,776
2015-04-17,7786,1793,7786,756
2015-04-24,7823,1801,7823,766
2015-05-01,7728,1789,7728,753
2015-05-08,7816,1780,7816,765
2015-05-15,7775,1799,7775,752
2015-05-22,7774,1773,7774,763
2015-05-29,7649,1739,7649,758
2015-06-05,7893,1779,7893,768
2015-06-12,7748,1753,7748,758
2015-06-19,7724,1761,7724,744
2015-06-26,7828,1796,7828,755
2015-07-03,7431,1719,7431,722
2015-07-10,7645,1766,7645,736
2015-07-17,7698,1757,7698,741
2015-07-24,7671,1746,7671,742
2015-07-31,7607,1751,7607,750
2015-08-07,7567,1722,7567,730
2015-08-14,7543,1718,7543,729
2015-08-21,7671,1717,7671,736
2015-08-28,7698,1749,7698,741
2015-09-04,7625,1713,7625,741
2015-09-11,7372,1697,7372,720
2015-09-18,7750,1718,7750,751
2015-09-25,7870,1754,7870,754
2015-10-02,7763,1720,7763,765
2015-10-09,7808,1739,7808,770
2015-10-16,7489,1700,7489,738
2015-10-23,7807,1734,7807,762
2015-10-30,7915,1754,7915,765
2015-11-06,7820,1740,7820,756
2015-11-13,7629,1692,7629,747
2015-11-20,8045,1781,8045,779
2015-11-27,7266,1675,7266,711
2015-12-04,7965,1754,7965,776
2015-12-11,7917,1735,7917,773
2015-12-18,7953,1746,7953,766
2015-12-25,7147,1640,7147,711
2016-01-01,6574,1573,6574,642
