week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2010-01-08,7554,1665,7554,620
2010-01-15,7615,1685,7615,612
2010-01-22,7204,1621,7204,593
2010-01-29,7563,1670,7563,613
2010-02-05,7586,1689,7586,604
2010-02-12,7234,1605,7234,574
2010-02-19,6834,1564,6834,559
2010-02-26,7286,1610,7286,574
2010-03-05,7336,1607,7336,576
2010-03-12,7309,1636,7309,577
2010-03-19,7265,1615,7265,590
2010-03-26,7326,1618,7326,588
2010-04-02,6773,1575,6773,550
2010-04-09,7231,1617,7231,591
2010-04-16,7349,1644,7349,585
2010-04-23,7290,1633,7290,580
2010-04-30,7207,1654,7207,590
2010-05-07,7002,1604,7002,567
2010-05-14,7090,1599,7090,571
2010-05-21,7060,1592,7060,572
2010-05-28,6911,1590,6911,571
2010-06-04,6399,1521,6399,547
2010-06-11,6895,1616,6895,577
2010-06-18,6974,1634,6974,563
2010-06-25,7035,1639,7035,575
2010-07-02,6790,1582,6790,561
2010-07-09,6543,1590,6543,551
2010-07-16,6884,1598,6884,575
2010-07-23,6855,1613,6855,579
2010-07-30,6929,1653,6929,579
2010-08-06,7021,1630,7021,567
2010-08-13,7049,1618,7049,566
2010-08-20,7211,1659,7211,580
2010-08-27,7076,1671,7076,570
2010-09-03,6926,1620,6926,578
2010-09-10,6719,1653,6719,553
2010-09-17,7139,1684,7139,588
2010-09-24,7112,1679,7112,596
2010-10-01,7279,1723,7279,608
2010-10-08,7179,1694,7179,591
2010-10-15,7039,1644,7039,587
2010-10-22,7210,1690,7210,597
2010-10-29,7229,1697,7229,596
2010-11-05,7238,1676,7238,606
2010-11-12,7017,1652,7017,579
2010-11-19,7420,1675,7420,606
2010-11-26,6292,1566,6292,538
2010-12-03,7390,1702,7390,625
2010-12-10,7392,1722,7392,608
2010-12-17,7403,1707,7403,624
2010-12-24,6629,1608,6629,564
2010-12-31,6268,1487,6268,519
