week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2005-01-07,7670,1924,7670,549
2005-01-14,7228,1860,7228,501
2005-01-21,7060,1755,7060,499
2005-01-28,7530,1884,7530,546
2005-02-04,7480,1873,7480,543
2005-02-11,7409,1822,7409,524
2005-02-18,7284,1816,7284,519
2005-02-25,6908,1794,6908,503
2005-03-04,7280,1843,7280,529
2005-03-11,7428,1861,7428,521
2005-03-18,7348,1813,7348,526
2005-03-25,6717,1658,6717,478
2005-04-01,7390,1783,7390,532
2005-04-08,7283,1787,7283,515
2005-04-15,7174,1728,7174,484
2005-04-22,7337,1794,7337,495
2005-04-29,7370,1804,7370,522
2005-05-06,7132,1763,7132,497
2005-05-13,7261,1755,7261,495
2005-05-20,7310,1783,7310,525
2005-05-27,7191,1840,7191,509
2005-06-03,6965,1779,6965,495
2005-06-10,7332,1802,7332,521
2005-06-17,7312,1796,7312,518
2005-06-24,7388,1837,7388,524
2005-07-01,7137,1820,7137,507
2005-07-08,6721,1712,6721,482
2005-07-15,7047,1735,7047,505
2005-07-22,7185,1800,7185,510
2005-07-29,7273,1852,7273,518
2005-08-05,7031,1788,7031,509
2005-08-12,6994,1770,6994,496
2005-08-19,7221,1779,7221,498
2005-08-26,7157,1774,7157,492
2005-09-02,6751,1608,6751,456
2005-09-09,6797,1740,6797,469
2005-09-16,7280,1767,7280,491
2005-09-23,7382,1789,7382,503
2005-09-30,7584,1869,7584,538
2005-10-07,6991,1743,6991,494
2005-10-14,7164,1693,7164,496
2005-10-21,7670,1804,7670,508
2005-10-28,7528,1823,7528,520
2005-11-04,7373,1773,7373,506
2005-11-11,6897,1669,6897,476
2005-11-18,7692,1831,7692,514
2005-11-25,6464,1544,6464,434
2005-12-02,7785,1828,7785,511
2005-12-09,7838,1823,7838,520
2005-12-16,7916,1860,7916,520
2005-12-23,7390,1720,7390,492
2005-12-30,6140,1453,6140,401
