week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2019-01-04,8032,1604,8032,787
2019-01-11,8743,1695,8743,837
2019-01-18,8644,1686,8644,828
2019-01-25,8399,1671,8399,831
2019-02-01,8719,1725,8719,843
2019-02-08,8629,1703,8629,834
2019-02-15,8442,1673,8442,827
2019-02-22,8357,1654,8357,829
2019-03-01,8643,1694,8643,835
2019-03-08,8605,1685,8605,832
2019-03-15,8596,1680,8596,827
2019-03-22,8662,1687,8662,836
2019-03-29,8736,1704,8736,824
2019-04-05,8634,1666,8634,822
2019-04-12,8616,1673,8616,822
2019-04-19,8218,1626,8218,816
2019-04-26,8559,1644,8559,829
2019-05-03,8478,1643,8478,831
2019-05-10,8465,1639,8465,821
2019-05-17,8481,1648,8481,820
2019-05-24,8455,1640,8455,819
2019-05-31,8459,1632,8459,821
2019-06-07,8714,1655,8714,829
2019-06-14,8578,1645,8578,825
2019-06-21,8675,1653,8675,830
2019-06-28,8779,1661,8779,835
2019-07-05,7940,1589,7940,792
2019-07-12,8645,1666,8645,834
2019-07-19,8655,1658,8655,830
2019-07-26,8659,1627,8659,826
2019-08-02,8582,1622,8582,826
2019-08-09,8562,1625,8562,818
2019-08-16,8708,1625,8708,815
2019-08-23,8797,1629,8797,825
2019-08-30,8692,1634,8692,817
2019-09-06,8489,1600,8489,810
2019-09-13,8830,1634,8830,828
2019-09-20,8778,1646,8778,821
2019-09-27,8688,1616,8688,825
2019-10-04,8706,1603,8706,821
2019-10-11,8641,1622,8641,819
2019-10-18,8445,1610,8445,812
2019-10-25,8626,1631,8626,817
2019-11-01,8773,1631,8773,826
2019-11-08,8728,1630,8728,826
2019-11-15,8514,1616,8514,811
2019-11-22,8834,1637,8834,826
2019-11-29,8237,1563,8237,789
2019-12-06,8920,1646,8920,832
2019-12-13,8869,1650,8869,818
2019-12-20,8880,1646,8880,815
2019-12-27,7561,1533,7561,746
2020-01-03,6364,1403,6364,666
