week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2017-01-06,7949,1679,7949,772
2017-01-13,8114,1693,8114,786
2017-01-20,7949,1682,7949,776
2017-01-27,8219,1721,8219,799
2017-02-03,8288,1728,8288,791
2017-02-10,8186,1704,8186,785
2017-02-17,8135,1696,8135,796
2017-02-24,7828,1664,7828,762
2017-03-03,8154,1691,8154,788
2017-03-10,8284,1698,8284,802
2017-03-17,8241,1703,8241,794
2017-03-24,8365,1738,8365,797
2017-03-31,8349,1699,8349,794
2017-04-07,8159,1673,8159,793
2017-04-14,7683,1624,7683,768
2017-04-21,8214,1673,8214,798
2017-04-28,8188,1682,8188,797
2017-05-05,8057,1670,8057,784
2017-05-12,8119,1669,8119,795
2017-05-19,8204,1654,8204,783
2017-05-26,8152,1658,8152,790
2017-06-02,7900,1618,7900,778
2017-06-09,8164,1658,8164,795
2017-06-16,8136,1634,8136,783
2017-06-23,8190,1671,8190,785
2017-06-30,8292,1672,8292,802
2017-07-07,7497,1603,7497,746
2017-07-14,7993,1629,7993,777
2017-07-21,8037,1647,8037,765
2017-07-28,7932,1638,7932,768
2017-08-04,8012,1641,8012,774
2017-08-11,7915,1627,7915,766
2017-08-18,7866,1635,7866,753
2017-08-25,7972,1630,7972,782
2017-09-01,7853,1611,7853,768
2017-09-08,7752,1625,7752,759
2017-09-15,8025,1632,8025,781
2017-09-22,8128,1649,8128,779
2017-09-29,8222,1663,8222,791
2017-10-06,8038,1642,8038,777
2017-10-13,7864,1608,7864,772
2017-10-20,8151,1642,8151,785
2017-10-27,8091,1642,8091,779
2017-11-03,8085,1620,8085,777
2017-11-10,8072,1632,8072,765
2017-11-17,8087,1623,8087,786
2017-11-24,7369,1550,7369,728
2017-12-01,8336,1667,8336,792
2017-12-08,8289,1659,8289,796
2017-12-15,8319,1665,8319,793
2017-12-22,8133,1663,8133,774
2017-12-29,7044,1514,7044,702
