week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2022-01-07,8865,1587,8865,807
2022-01-14,8812,1579,8812,817
2022-01-21,8739,1564,8739,812
2022-01-28,8890,1586,8890,817
2022-02-04,8905,1596,8905,814
2022-02-11,8832,1564,8832,815
2022-02-18,8808,1577,8808,821
2022-02-25,8679,1564,8679,815
2022-03-04,8946,1586,8946,823
2022-03-11,8845,1567,8845,810
2022-03-18,8809,1561,8809,813
2022-03-25,8927,1553,8927,822
2022-04-01,9045,1589,9045,824
2022-04-08,8879,1564,8879,811
2022-04-15,8467,1515,8467,801
2022-04-22,8985,1570,8985,815
2022-04-29,8997,1569,8997,826
2022-05-06,8875,1569,8875,817
2022-05-13,8994,1570,8994,821
2022-05-20,8837,1547,8837,810
2022-05-27,8875,1568,8875,815
2022-06-03,8873,1570,8873,824
2022-06-10,8797,1548,8797,824
2022-06-17,8847,1567,8847,826
2022-06-24,8690,1560,8690,798
2022-07-01,8914,1564,8914,816
2022-07-08,8623,1548,8623,811
2022-07-15,8753,1563,8753,811
2022-07-22,8822,1554,8822,818
2022-07-29,8895,1559,8895,812
2022-08-05,8914,1571,8914,818
2022-08-12,8747,1557,8747,826
2022-08-19,8840,1555,8840,811
2022-08-26,8795,1540,8795,813
2022-09-02,8911,1548,8911,812
2022-09-09,8734,1548,8734,804
2022-09-16,8981,1565,8981,814
2022-09-23,9186,1581,9186,830
2022-09-30,9282,1576,9282,834
2022-10-07,9103,1564,9103,819
2022-10-14,8967,1537,8967,810
2022-10-21,9102,1572,9102,817
2022-10-28,9260,1573,9260,821
2022-11-04,9179,1574,9179,822
2022-11-11,8987,1529,8987,806
2022-11-18,9417,1579,9417,822
2022-11-25,8716,1524,8716,801
2022-12-02,9441,1581,9441,832
2022-12-09,9382,1573,9382,821
2022-12-16,9369,1556,9369,808
2022-12-23,9195,1549,9195,808
2022-12-30,8840,1512,8840,793
