variant,min_bonds,quantile,winsor,n_months,mean_monthly,std_monthly,t_stat_mean,ann_sharpe,cumulative_return,max_drawdown,min_month,max_month,issuer_month_groups,position_rows
base_min3_q20,3,0.2,None,256,0.004143640043474571,0.005670693142061991,11.691382170519919,2.5312584912556746,1.8706560918573802,-0.02952823964814788,-0.029528239648147856,0.03899910769785379,182763,555416
min5_q20,5,0.2,None,255,0.006186240402613729,0.007916199836758918,12.479010043659704,2.7070773618947084,3.7817298952530374,-0.052183120176373166,-0.052183120176373186,0.05386682553295679,112098,414086
min8_q20,8,0.2,None,255,0.006280538579556052,0.011014233235312013,9.10568681972823,1.975300810556948,3.8577316671084674,-0.1263500585983458,-0.12635005859834586,0.059403332703445465,60944,311778
min10_q20,10,0.2,None,255,0.005752362764860075,0.014087122982998777,6.520697456842832,1.4145378846098624,3.199624518850851,-0.18933920319652076,-0.18933920319652078,0.0691232708459862,42191,274272
min3_q10,3,0.1,None,256,0.004396249762074832,0.0077008688100770545,9.134033825008569,1.9775763328709415,2.050561616579919,-0.07911678571885683,-0.07911678571885682,0.04427969816249717,182763,404982
min3_q30,3,0.3,None,256,0.0036065617127978558,0.005094465026260353,11.326996477022567,2.4523666744195953,1.5051743494335317,-0.02092984069602255,-0.02092984069602258,0.03542106681495968,182763,764664
winsor_1_99,3,0.2,"(0.01, 0.99)",256,0.003632634848732321,0.0027664714459830525,21.009491229020693,4.548688281229567,1.5276853060742517,-0.0016625408249956175,-0.0016625408249956316,0.018319410405500117,182763,555416
winsor_5_95,3,0.2,"(0.05, 0.95)",256,0.0029162830963243326,0.0018765178558674278,24.865486568802357,5.383535761510899,1.1065175616768612,-0.0017824894889278964,-0.0017824894889278055,0.010466254036836431,182763,555416
