issuer_id,week_end,n_bonds
33695,2025-03-21,325
33695,2025-02-14,309
33695,2025-01-17,308
33695,2025-03-14,307
33695,2025-02-07,306
33695,2025-01-31,305
33695,2025-01-10,304
33695,2025-01-24,299
33695,2025-03-07,290
33695,2025-02-28,285
33695,2025-03-28,280
33695,2025-02-21,273
33695,2025-01-03,180
35004,2025-03-21,173
35004,2025-03-14,172
35004,2025-03-28,168
35004,2025-03-07,162
35004,2025-02-28,158
35004,2025-02-14,140
35004,2025-01-31,139
35004,2025-02-21,138
1771,2025-03-21,129
35004,2025-01-17,124
35004,2025-01-10,123
1771,2025-03-07,122
32904,2025-03-14,120
33717,2025-01-24,120
33717,2025-03-14,120
33717,2025-02-14,120
32904,2025-03-28,119
1771,2025-02-07,119
32904,2025-01-31,119
1771,2025-02-14,118
33717,2025-03-28,117
32904,2025-03-21,117
1771,2025-03-14,117
32904,2025-02-28,117
32904,2025-02-21,116
32904,2025-01-17,116
1771,2025-02-21,116
35004,2025-02-07,116
33717,2025-02-28,116
33717,2025-03-21,115
33695,2025-04-04,114
33717,2025-03-07,114
35004,2025-01-24,114
33717,2025-02-07,113
1771,2025-01-10,113
1771,2025-01-24,112
1771,2025-01-17,112
32904,2025-03-07,112
33717,2025-01-10,112
33717,2025-01-17,111
35499,2025-01-17,111
1771,2025-03-28,109
32904,2025-01-10,109
1771,2025-01-31,108
32904,2025-02-14,108
33717,2025-01-31,107
35499,2025-03-07,106
1771,2025-02-28,106
32904,2025-02-07,106
35499,2025-02-28,105
35499,2025-01-31,102
35499,2025-02-14,102
33717,2025-02-21,100
35499,2025-02-07,99
32904,2025-01-24,98
35499,2025-03-28,96
35499,2025-01-10,95
35499,2025-02-21,94
35499,2025-03-14,93
35499,2025-03-21,89
35499,2025-01-24,87
2921,2025-02-28,86
2921,2025-01-24,86
41821,2025-01-31,84
2921,2025-03-07,82
41821,2025-01-17,78
2921,2025-02-21,78
4481,2025-02-28,78
4481,2025-03-21,77
2921,2025-03-14,76
35004,2025-04-04,75
4481,2025-02-21,74
1771,2025-01-03,74
33717,2025-01-03,74
4481,2025-03-14,73
2921,2025-01-10,73
35499,2025-01-03,73
32904,2025-01-03,73
41217,2025-03-21,73
41217,2025-03-28,72
41217,2025-03-14,72
41821,2025-01-24,72
2921,2025-02-14,72
2921,2025-03-28,71
2921,2025-03-21,70
35004,2025-01-03,70
1284,2025-01-31,70
41821,2025-01-10,70
4481,2025-03-07,69
8276,2025-02-28,69
2921,2025-01-17,69
39095,2025-03-14,69
41821,2025-02-14,68
2921,2025-02-07,68
41821,2025-03-21,68
4481,2025-02-07,68
41217,2025-02-07,68
8276,2025-03-14,68
39095,2025-01-10,68
4130,2025-01-31,68
39095,2025-02-14,67
4481,2025-03-28,67
4481,2025-01-31,67
8276,2025-03-28,67
39095,2025-01-24,67
39095,2025-03-28,67
41821,2025-03-14,67
39095,2025-03-07,67
34918,2025-01-24,66
42277,2025-02-07,66
34918,2025-01-31,66
34918,2025-02-14,66
34918,2025-02-21,66
34918,2025-02-28,66
34918,2025-02-07,66
34918,2025-03-14,66
34918,2025-03-21,66
41821,2025-02-21,66
34918,2025-01-17,66
34918,2025-03-28,66
41217,2025-01-17,66
1284,2025-01-10,66
39095,2025-02-21,66
39095,2025-03-21,66
39095,2025-01-17,66
4481,2025-02-14,66
34918,2025-03-07,66
34918,2025-01-10,66
41217,2025-03-07,66
34918,2025-04-04,66
39095,2025-02-28,65
39095,2025-02-07,65
34918,2025-01-03,65
35499,2025-04-04,65
32904,2025-04-04,65
41217,2025-02-28,64
4481,2025-01-17,64
8276,2025-01-10,64
41217,2025-01-24,64
2921,2025-01-31,64
39095,2025-01-31,64
8276,2025-02-14,63
8276,2025-01-24,62
41217,2025-01-31,62
41821,2025-02-07,62
41217,2025-02-14,61
8276,2025-03-07,61
41821,2025-03-28,61
35686,2025-03-21,61
4481,2025-01-24,60
36959,2025-02-21,59
8276,2025-02-21,59
36959,2025-01-24,59
8276,2025-01-17,59
36959,2025-01-31,59
36959,2025-02-14,59
36959,2025-02-28,59
36959,2025-03-14,59
42277,2025-03-28,59
36959,2025-03-28,59
36959,2025-03-07,58
8276,2025-02-07,58
36959,2025-01-17,58
1284,2025-02-28,58
36959,2025-03-21,58
4130,2025-01-17,58
8276,2025-03-21,58
41217,2025-02-21,58
4130,2025-02-28,58
4481,2025-01-10,58
36959,2025-02-07,58
36959,2025-01-10,58
42277,2025-02-28,57
42313,2025-03-14,57
1284,2025-03-14,57
4130,2025-01-10,57
1284,2025-02-07,57
42277,2025-01-10,57
36718,2025-03-14,57
42277,2025-03-21,56
36718,2025-02-07,56
8276,2025-01-31,56
39095,2025-01-03,56
4130,2025-03-07,56
42277,2025-01-17,56
42313,2025-02-28,56
42313,2025-03-21,56
33717,2025-04-04,56
42277,2025-03-14,56
36959,2025-04-04,55
35686,2025-02-28,55
36718,2025-01-31,55
1284,2025-01-24,55
1284,2025-01-17,55
42277,2025-03-07,55
36959,2025-01-03,54
46385,2025-03-21,54
41821,2025-02-28,54
35686,2025-03-14,53
4130,2025-02-14,53
42313,2025-02-21,53
41217,2025-01-10,53
42313,2025-03-07,53
1771,2025-04-04,53
48929,2025-01-17,53
42313,2025-02-07,52
4268,2025-02-14,52
4130,2025-02-07,52
1284,2025-03-28,52
41495,2025-02-28,52
48929,2025-01-10,52
42277,2025-02-14,52
36718,2025-01-24,52
35686,2025-02-07,51
35686,2025-03-28,51
4268,2025-02-28,51
42277,2025-01-24,51
4130,2025-03-21,51
48929,2025-02-28,51
48929,2025-02-07,51
42277,2025-01-31,51
48929,2025-01-24,51
3843,2025-03-28,51
42313,2025-03-28,51
3843,2025-03-21,51
3843,2025-01-31,50
3843,2025-01-24,50
3843,2025-02-14,50
3843,2025-02-21,50
3843,2025-01-17,50
3843,2025-02-28,50
3843,2025-02-07,50
4130,2025-03-14,50
3843,2025-01-10,50
36718,2025-01-17,50
48929,2025-01-31,50
48929,2025-03-07,50
42313,2025-01-17,50
4268,2025-03-21,50
4268,2025-01-31,50
4130,2025-01-24,50
48929,2025-02-14,49
42313,2025-01-24,49
42313,2025-02-14,49
48929,2025-03-21,49
3843,2025-04-04,49
3843,2025-03-07,49
39095,2025-04-04,49
4268,2025-03-28,49
4268,2025-03-07,49
3843,2025-03-14,49
42313,2025-01-31,49
36718,2025-03-07,49
1203,2025-01-10,48
1203,2025-01-17,48
1203,2025-01-24,48
1203,2025-02-07,48
1203,2025-02-14,48
48929,2025-02-21,48
35686,2025-02-14,48
36718,2025-02-14,48
36718,2025-02-28,48
1284,2025-03-07,48
1284,2025-02-14,48
36718,2025-03-28,48
534,2025-02-14,48
1203,2025-01-31,48
1203,2025-02-28,48
1203,2025-02-21,48
534,2025-01-17,48
534,2025-03-07,48
534,2025-01-31,48
534,2025-01-24,48
4268,2025-01-10,48
4268,2025-03-14,48
534,2025-03-28,47
534,2025-02-28,47
263,2025-01-03,47
42277,2025-02-21,47
1284,2025-03-21,47
48929,2025-03-14,47
4268,2025-01-17,47
46519,2025-02-28,47
534,2025-03-14,47
36718,2025-03-21,47
263,2025-01-10,47
46519,2025-03-14,47
263,2025-01-17,47
263,2025-01-24,47
263,2025-01-31,47
263,2025-02-07,47
534,2025-01-10,47
46519,2025-03-21,46
1203,2025-03-28,46
534,2025-02-21,46
1203,2025-03-21,46
4268,2025-02-21,46
534,2025-02-07,46
29777,2025-02-28,46
1203,2025-03-07,46
1203,2025-03-14,46
48929,2025-03-28,46
1255,2025-01-24,46
1203,2025-01-03,46
4268,2025-02-07,46
534,2025-01-03,46
4268,2025-01-24,46
263,2025-02-21,45
263,2025-03-21,45
263,2025-03-28,45
263,2025-03-14,45
263,2025-04-04,45
2048,2025-01-03,45
534,2025-03-21,45
2048,2025-01-10,45
1255,2025-01-31,45
1255,2025-02-21,45
46519,2025-01-31,45
263,2025-03-07,45
4130,2025-02-21,45
35686,2025-01-31,45
41821,2025-03-07,45
42313,2025-01-10,45
1255,2025-03-07,45
263,2025-02-14,45
263,2025-02-28,45
1255,2025-02-14,45
1255,2025-01-17,45
46381,2025-02-07,44
1203,2025-04-04,44
42313,2025-01-03,44
2921,2025-01-03,44
2048,2025-01-17,44
1255,2025-01-10,44
46381,2025-03-21,44
4268,2025-04-04,44
46519,2025-02-14,44
46381,2025-02-28,44
46381,2025-03-07,44
46381,2025-03-14,44
46381,2025-02-21,44
10723,2025-02-07,44
1255,2025-02-28,44
2048,2025-01-24,44
1255,2025-03-14,44
1255,2025-03-28,44
1255,2025-01-03,44
46381,2025-01-17,44
10723,2025-03-21,43
10723,2025-03-28,43
10723,2025-02-28,43
1255,2025-02-07,43
42313,2025-04-04,43
3271,2025-02-28,43
3271,2025-03-07,43
1255,2025-03-21,43
3185,2025-03-07,43
46381,2025-02-14,43
10723,2025-03-07,43
10723,2025-02-21,43
10723,2025-04-04,43
10723,2025-03-14,43
46381,2025-01-31,43
2048,2025-03-07,43
2048,2025-02-28,43
1063,2025-01-17,43
4130,2025-03-28,43
2048,2025-03-14,43
3271,2025-03-28,43
2048,2025-03-28,43
3271,2025-03-21,43
2048,2025-02-21,43
2048,2025-02-07,43
2048,2025-02-14,43
29777,2025-03-21,43
2048,2025-01-31,43
2048,2025-03-21,43
46381,2025-01-10,43
10723,2025-02-14,43
1063,2025-01-31,42
10723,2025-01-31,42
46381,2025-03-28,42
3185,2025-03-14,42
3185,2025-02-28,42
46385,2025-02-28,42
48929,2025-01-03,42
1063,2025-02-28,42
3271,2025-03-14,42
2048,2025-04-04,42
1063,2025-01-10,42
48929,2025-04-04,42
3271,2025-02-14,42
3271,2025-02-07,42
3271,2025-02-21,42
46519,2025-03-07,42
3843,2025-01-03,42
1255,2025-04-04,41
46519,2025-03-28,41
35686,2025-01-17,41
41495,2025-02-14,41
1063,2025-03-28,41
3271,2025-04-04,41
46519,2025-01-24,41
3185,2025-02-07,41
3185,2025-03-28,41
3185,2025-01-24,41
3185,2025-01-17,41
3185,2025-02-14,41
3185,2025-03-21,41
41495,2025-03-28,41
1063,2025-02-07,41
41821,2025-01-03,41
46381,2025-01-24,41
29777,2025-02-21,41
2507,2025-02-14,41
46519,2025-02-21,41
3185,2025-01-31,41
3185,2025-01-10,41
1063,2025-02-21,41
1063,2025-03-07,40
2507,2025-03-07,40
2507,2025-03-14,40
534,2025-04-04,40
572,2025-01-31,40
572,2025-01-10,40
36718,2025-01-10,40
3185,2025-01-03,40
4481,2025-01-03,40
1063,2025-01-24,40
41495,2025-03-07,40
1063,2025-02-14,40
3185,2025-02-21,40
29777,2025-03-14,40
46519,2025-01-17,40
2507,2025-02-28,40
2507,2025-01-17,40
2507,2025-01-10,40
2507,2025-02-21,40
2507,2025-03-28,40
3271,2025-01-17,40
1284,2025-02-21,40
3271,2025-01-24,40
35686,2025-02-21,40
44537,2025-04-04,40
44537,2025-03-28,40
3271,2025-01-10,40
35686,2025-03-07,40
2507,2025-01-24,40
46385,2025-03-28,40
572,2025-03-28,40
46381,2025-04-04,40
10723,2025-01-24,39
1063,2025-03-21,39
572,2025-03-21,39
572,2025-03-07,39
572,2025-02-28,39
4481,2025-04-04,39
8276,2025-04-04,39
3419,2025-02-07,39
36133,2025-03-21,39
3419,2025-03-07,39
3419,2025-02-28,39
1636,2025-03-28,39
2507,2025-03-21,39
3419,2025-01-31,39
10723,2025-01-03,39
8276,2025-01-03,39
1063,2025-03-14,39
46385,2025-03-07,39
572,2025-01-24,39
41495,2025-02-21,39
10723,2025-01-17,39
10723,2025-01-10,39
2507,2025-01-31,39
46519,2025-02-07,39
35384,2025-01-03,38
35384,2025-01-10,38
35384,2025-02-07,38
35384,2025-01-24,38
3419,2025-01-17,38
2507,2025-02-07,38
11952,2025-01-10,38
35686,2025-01-24,38
11952,2025-01-24,38
1284,2025-01-03,38
3419,2025-03-21,38
572,2025-02-14,38
3072,2025-03-21,38
41495,2025-01-10,38
41495,2025-02-07,38
35384,2025-02-14,38
572,2025-01-17,38
1636,2025-02-28,38
3072,2025-02-28,38
572,2025-02-21,38
35384,2025-03-21,38
11952,2025-01-17,38
44537,2025-01-10,38
35384,2025-01-17,38
3271,2025-01-31,38
44537,2025-01-03,38
1636,2025-03-14,38
572,2025-03-14,38
1636,2025-03-21,38
35384,2025-01-31,38
35384,2025-04-04,38
35384,2025-03-28,38
35384,2025-03-14,38
35384,2025-02-21,38
35384,2025-03-07,38
35384,2025-02-28,38
572,2025-02-07,38
3072,2025-03-07,37
3072,2025-01-17,37
3072,2025-01-24,37
41495,2025-01-31,37
44537,2025-01-17,37
3072,2025-02-21,37
3072,2025-02-14,37
44537,2025-02-07,37
3072,2025-01-31,37
44537,2025-02-21,37
36133,2025-03-14,37
41217,2025-01-03,37
3419,2025-03-28,37
3419,2025-03-14,37
3419,2025-01-24,37
11952,2025-02-28,37
11952,2025-01-31,37
11952,2025-02-14,37
11952,2025-02-07,37
11952,2025-02-21,37
2507,2025-04-04,37
44537,2025-01-24,37
1636,2025-01-24,37
1636,2025-03-07,37
44537,2025-03-21,37
4268,2025-01-03,37
36133,2025-03-28,37
44537,2025-02-28,37
42277,2025-01-03,37
44537,2025-03-14,37
44537,2025-03-07,37
1636,2025-02-21,37
572,2025-01-03,37
44537,2025-01-31,37
36718,2025-02-21,37
3072,2025-02-07,37
44537,2025-02-14,37
11952,2025-03-07,37
11952,2025-03-14,36
27608,2025-02-14,36
27608,2025-02-21,36
46519,2025-01-10,36
