week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2014-01-03,5369,1483,5369,549
2014-01-10,7532,1831,7532,740
2014-01-17,7413,1779,7413,731
2014-01-24,7079,1743,7079,716
2014-01-31,7288,1780,7288,720
2014-02-07,7430,1798,7430,730
2014-02-14,7259,1793,7259,724
2014-02-21,7089,1742,7089,709
2014-02-28,7467,1789,7467,732
2014-03-07,7369,1790,7369,719
2014-03-14,7407,1771,7407,745
2014-03-21,7432,1795,7432,720
2014-03-28,7474,1801,7474,738
2014-04-04,7480,1808,7480,737
2014-04-11,7329,1787,7329,723
2014-04-18,6967,1731,6967,691
2014-04-25,7549,1819,7549,727
2014-05-02,7487,1791,7487,742
2014-05-09,7359,1778,7359,702
2014-05-16,7366,1763,7366,722
2014-05-23,7380,1778,7380,724
2014-05-30,7325,1756,7325,722
2014-06-06,7564,1790,7564,743
2014-06-13,7411,1769,7411,731
2014-06-20,7489,1768,7489,739
2014-06-27,7810,1817,7810,757
2014-07-04,7200,1745,7200,716
2014-07-11,7494,1780,7494,715
2014-07-18,7568,1780,7568,740
2014-07-25,7434,1765,7434,738
2014-08-01,7505,1757,7505,743
2014-08-08,7401,1777,7401,734
2014-08-15,7544,1796,7544,733
2014-08-22,7489,1759,7489,719
2014-08-29,7473,1755,7473,728
2014-09-05,7098,1697,7098,705
2014-09-12,7489,1768,7489,737
2014-09-19,7569,1773,7569,745
2014-09-26,7600,1762,7600,740
2014-10-03,7621,1791,7621,757
2014-10-10,7548,1775,7548,758
2014-10-17,7298,1754,7298,721
2014-10-24,7672,1781,7672,753
2014-10-31,7686,1809,7686,760
2014-11-07,7501,1776,7501,740
2014-11-14,7569,1774,7569,760
2014-11-21,7822,1803,7822,759
2014-11-28,7131,1698,7131,723
2014-12-05,7913,1811,7913,772
2014-12-12,7878,1826,7878,760
2014-12-19,7783,1799,7783,757
2014-12-26,6540,1627,6540,656
2015-01-02,5867,1526,5867,576
