issuer_id,week_end,n_bonds
1771,2018-01-26,300
33695,2018-01-26,296
33695,2018-02-02,293
33695,2018-01-12,291
1771,2018-11-16,290
1771,2018-02-02,288
33695,2018-12-21,288
1771,2018-11-23,286
33695,2018-03-16,285
1771,2018-11-30,285
1771,2018-01-19,284
1771,2018-12-21,283
33695,2018-04-06,282
33695,2018-12-14,282
33695,2018-05-18,282
1771,2018-12-14,281
1771,2018-12-07,281
33695,2018-08-17,280
1771,2018-11-09,280
33695,2018-04-20,279
33695,2018-07-20,275
33695,2018-10-05,274
33695,2018-04-27,274
33695,2018-02-23,273
33695,2018-03-02,272
33695,2018-07-27,272
33695,2018-08-24,272
1771,2018-11-02,272
33695,2018-02-09,271
33695,2018-02-16,270
33695,2018-06-22,268
33695,2018-01-19,267
33695,2018-03-23,266
33695,2018-08-31,265
33695,2018-03-09,265
33695,2018-04-13,265
33695,2018-10-19,263
33695,2018-06-29,263
1771,2018-02-09,262
33695,2018-09-14,261
33695,2018-11-09,261
1771,2018-04-20,261
33695,2018-08-03,260
1771,2018-04-06,260
1771,2018-03-02,259
33695,2018-08-10,259
1771,2018-10-05,259
33695,2018-11-30,259
33695,2018-12-07,258
33695,2018-06-15,258
33695,2018-06-08,257
1771,2018-01-12,256
1771,2018-06-29,256
1771,2018-01-05,256
1771,2018-02-16,255
33695,2018-11-02,254
33695,2018-05-25,254
1771,2018-03-09,253
1771,2018-12-28,252
33695,2018-09-21,249
33695,2018-10-26,249
33695,2018-09-28,248
33695,2018-06-01,247
1771,2018-04-13,246
1771,2018-10-12,245
1771,2018-03-16,245
33695,2018-11-16,245
33695,2018-03-30,245
33695,2018-07-13,244
1771,2018-06-22,243
1771,2018-03-23,242
33695,2018-01-05,242
1771,2018-10-19,240
1771,2018-04-27,239
1771,2018-07-13,238
1771,2018-03-30,238
33695,2018-05-11,238
33695,2018-09-07,237
1771,2018-06-15,237
1771,2018-10-26,236
1771,2018-07-27,236
1771,2018-02-23,235
1771,2018-09-28,235
33695,2018-10-12,235
1771,2018-07-20,234
1771,2018-08-17,233
1771,2018-07-06,229
33695,2018-12-28,229
33695,2018-07-06,228
33695,2018-05-04,228
1771,2018-05-04,228
1771,2018-05-18,227
1771,2018-06-08,226
1771,2018-08-24,223
1771,2018-08-03,222
1771,2018-09-21,222
1771,2018-08-31,220
1771,2018-08-10,218
1771,2018-05-11,213
1771,2018-05-25,213
33695,2018-11-23,211
1771,2018-09-14,202
1771,2018-06-01,199
1771,2018-09-07,184
1771,2019-01-04,134
42277,2018-08-31,128
42277,2018-11-02,124
42277,2018-09-14,119
42277,2018-12-14,119
42277,2018-09-28,117
42277,2018-09-21,113
42277,2018-10-05,113
42277,2018-12-21,112
42277,2018-11-30,112
42277,2018-09-07,112
42277,2018-11-09,111
42277,2018-05-18,110
36718,2018-02-16,109
42277,2018-10-19,108
33717,2018-02-02,107
33717,2018-01-26,107
33717,2018-01-12,106
2921,2018-01-26,105
42277,2018-03-02,105
42277,2018-08-24,105
42277,2018-04-13,103
