week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2013-01-04,6563,1654,6563,617
2013-01-11,7357,1778,7357,678
2013-01-18,7436,1787,7436,691
2013-01-25,7213,1743,7213,675
2013-02-01,7463,1774,7463,692
2013-02-08,7405,1775,7405,690
2013-02-15,7433,1776,7433,691
2013-02-22,7208,1742,7208,679
2013-03-01,7525,1791,7525,700
2013-03-08,7564,1765,7564,702
2013-03-15,7525,1772,7525,707
2013-03-22,7492,1772,7492,686
2013-03-29,7077,1728,7077,664
2013-04-05,7629,1792,7629,714
2013-04-12,7439,1780,7439,679
2013-04-19,7365,1738,7365,705
2013-04-26,7362,1767,7362,686
2013-05-03,7338,1751,7338,684
2013-05-10,7339,1736,7339,690
2013-05-17,7385,1768,7385,706
2013-05-24,7404,1756,7404,703
2013-05-31,7268,1752,7268,689
2013-06-07,7548,1776,7548,720
2013-06-14,7469,1781,7469,706
2013-06-21,7520,1789,7520,695
2013-06-28,7636,1788,7636,720
2013-07-05,6635,1651,6635,642
2013-07-12,7530,1782,7530,713
2013-07-19,7344,1785,7344,697
2013-07-26,7323,1771,7323,707
2013-08-02,7300,1789,7300,721
2013-08-09,7305,1779,7305,698
2013-08-16,7258,1776,7258,715
2013-08-23,7413,1784,7413,724
2013-08-30,7188,1753,7188,717
2013-09-06,6905,1739,6905,683
2013-09-13,7283,1777,7283,713
2013-09-20,7446,1819,7446,732
2013-09-27,7337,1800,7337,727
2013-10-04,7282,1794,7282,726
2013-10-11,7219,1768,7219,712
2013-10-18,7202,1794,7202,711
2013-10-25,7282,1772,7282,720
2013-11-01,7253,1788,7253,723
2013-11-08,7228,1759,7228,716
2013-11-15,7284,1772,7284,716
2013-11-22,7587,1808,7587,744
2013-11-29,6782,1681,6782,685
2013-12-06,7508,1813,7508,751
2013-12-13,7560,1847,7560,735
2013-12-20,7619,1828,7619,748
2013-12-27,6085,1556,6085,591
2014-01-03,4754,1390,4754,494
