week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2011-01-07,7182,1685,7182,585
2011-01-14,7093,1686,7093,592
2011-01-21,6767,1639,6767,582
2011-01-28,7043,1690,7043,598
2011-02-04,7089,1716,7089,598
2011-02-11,7106,1680,7106,611
2011-02-18,7197,1684,7197,593
2011-02-25,6781,1620,6781,570
2011-03-04,7081,1655,7081,595
2011-03-11,7067,1674,7067,603
2011-03-18,7096,1673,7096,602
2011-03-25,7025,1687,7025,599
2011-04-01,7033,1678,7033,591
2011-04-08,6989,1669,6989,595
2011-04-15,6986,1682,6986,596
2011-04-22,6656,1632,6656,569
2011-04-29,7207,1697,7207,606
2011-05-06,6951,1643,6951,584
2011-05-13,7007,1668,7007,586
2011-05-20,7087,1669,7087,595
2011-05-27,6982,1668,6982,598
2011-06-03,6851,1647,6851,588
2011-06-10,7019,1677,7019,590
2011-06-17,7027,1676,7027,594
2011-06-24,7034,1675,7034,615
2011-07-01,6870,1686,6870,596
2011-07-08,6466,1616,6466,561
2011-07-15,6857,1688,6857,598
2011-07-22,6996,1698,6996,597
2011-07-29,7030,1657,7030,599
2011-08-05,7049,1671,7049,597
2011-08-12,6858,1635,6858,580
2011-08-19,6935,1676,6935,585
2011-08-26,6759,1652,6759,571
2011-09-02,6297,1623,6297,547
2011-09-09,6353,1608,6353,564
2011-09-16,6729,1641,6729,579
2011-09-23,6832,1688,6832,592
2011-09-30,6861,1682,6861,600
2011-10-07,6596,1673,6596,577
2011-10-14,6679,1682,6679,580
2011-10-21,6878,1708,6878,598
2011-10-28,6916,1729,6916,617
2011-11-04,6653,1680,6653,595
2011-11-11,6539,1695,6539,581
2011-11-18,7036,1730,7036,594
2011-11-25,5966,1555,5966,530
2011-12-02,6973,1728,6973,595
2011-12-09,7161,1767,7161,612
2011-12-16,7029,1732,7029,606
2011-12-23,6713,1667,6713,579
2011-12-30,5687,1481,5687,489
