week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2007-01-05,6807,1661,6807,473
2007-01-12,7418,1763,7418,508
2007-01-19,7078,1727,7078,507
2007-01-26,7420,1804,7420,533
2007-02-02,7299,1792,7299,529
2007-02-09,7294,1799,7294,529
2007-02-16,7175,1743,7175,497
2007-02-23,6873,1675,6873,493
2007-03-02,7179,1726,7179,507
2007-03-09,7247,1761,7247,501
2007-03-16,7037,1664,7037,498
2007-03-23,7291,1777,7291,510
2007-03-30,7198,1767,7198,519
2007-04-06,6647,1680,6647,489
2007-04-13,7341,1728,7341,506
2007-04-20,7407,1718,7407,519
2007-04-27,7460,1731,7460,529
2007-05-04,7220,1709,7220,507
2007-05-11,7247,1705,7247,504
2007-05-18,7285,1736,7285,509
2007-05-25,7117,1697,7117,514
2007-06-01,6575,1615,6575,488
2007-06-08,7201,1709,7201,513
2007-06-15,7421,1699,7421,523
2007-06-22,7471,1703,7471,518
2007-06-29,7301,1726,7301,523
2007-07-06,5568,1402,5568,398
2007-07-13,6922,1672,6922,496
2007-07-20,6913,1645,6913,487
2007-07-27,6494,1606,6494,468
2007-08-03,6567,1581,6567,470
2007-08-10,6320,1557,6320,444
2007-08-17,6302,1552,6302,445
2007-08-24,6510,1530,6510,432
2007-08-31,6191,1490,6191,447
2007-09-07,6028,1523,6028,443
2007-09-14,6784,1617,6784,477
2007-09-21,6840,1649,6840,485
2007-09-28,6993,1685,6993,518
2007-10-05,6636,1600,6636,480
2007-10-12,6705,1616,6705,486
2007-10-19,6778,1624,6778,501
2007-10-26,6852,1635,6852,487
2007-11-02,6722,1605,6722,497
2007-11-09,6524,1595,6524,479
2007-11-16,6618,1556,6618,479
2007-11-23,5531,1376,5531,405
2007-11-30,7044,1609,7044,495
2007-12-07,6953,1620,6953,495
2007-12-14,7087,1631,7087,506
2007-12-21,6989,1605,6989,489
2007-12-28,5069,1197,5069,351
2008-01-04,2001,614,2001,133
