target_month,strategy_ret,n_issuer_months,avg_bonds_per_issuer,avg_k_each_side,long_ret,short_ret
2004-02-29,0.0022795709907383,606,6.98019801980198,1.3828382838283828,0.0015854680715138,-0.0006941029192244
2004-03-31,0.0041906519735688,591,6.99492385786802,1.3756345177664977,0.0013765175071561,-0.0028141344664127
2004-04-30,0.0045371245113971,577,7.074523396880416,1.388214904679376,0.0028570163495457,-0.0016801081618513
2004-05-31,0.0136211603084527,602,6.911960132890365,1.3737541528239203,0.0107549910510264,-0.0028661692574262
2004-06-30,0.0099134385560781,585,6.844444444444444,1.3435897435897437,0.0049831843094633,-0.0049302542466147
2004-07-31,0.0023197167963806,583,6.857632933104632,1.3481989708404802,0.0001620877973277,-0.0021576289990529
2004-08-31,0.0163938881722646,592,6.856418918918919,1.3412162162162162,0.0112673062860598,-0.0051265818862048
2004-09-30,0.0040189723827891,575,6.796521739130434,1.342608695652174,-0.0118245292833371,-0.0158435016661262
2004-10-31,0.0011934195955457,578,6.647058823529412,1.3269896193771626,0.0004267209686973,-0.0007666986268484
2004-11-30,-0.0173912943116563,588,6.772108843537415,1.33843537414966,-0.004119281508552,0.0132720128031043
2004-12-31,0.0001474519167174,577,6.691507798960139,1.3327556325823224,-0.0006717810766495,-0.0008192329933669
2005-01-31,0.0061755006076842,584,6.77054794520548,1.3356164383561644,-0.0006080997327224,-0.0067836003404067
2005-02-28,0.0041785140197526,591,6.619289340101523,1.3231810490693738,0.0026135705351424,-0.0015649434846102
2005-03-31,0.0020720766492858,580,6.589655172413793,1.313793103448276,0.0016348755290292,-0.0004372011202566
2005-04-30,0.0010069854967293,572,6.606643356643357,1.312937062937063,0.0002849575466185,-0.0007220279501108
2005-05-31,0.0063156917633945,583,6.578044596912521,1.307032590051458,0.0023500886174744,-0.00396560314592
2005-06-30,0.003361083534962,572,6.4825174825174825,1.3024475524475525,0.0014892286718873,-0.0018718548630747
